heating_type,building_type,count,bldg_ids,zip_codes,elec_weights,gas_weights
Electric HP,Large MF,76,1668|1811|7767|24706|35423|35968|38191|43960|56177|57543|67045|68432|91222|92524|106066|109774|111208|112982|116670|121634|123524|128632|129290|133117|138601|140094|155473|160552|168929|169182|176295|176713|184368|185772|193981|196824|197807|209360|213025|269967|278957|279176|288168|290966|302306|304153|310605|318050|337935|343457|349846|350231|366373|384964|393014|400482|402500|423513|432243|440186|446991|462806|464040|472010|474841|484646|489794|492119|495984|496538|504116|510362|520557|523991|536217|538131,55429|55429|55107|55429|55429|55429|55107|55429|55429|55429|55429|55107|55429|55429|55429|55042|55429|55107|55107|55107|55042|55121|55429|55429|55107|55429|55121|55107|55107|55429|55107|55107|55429|55429|55429|55429|55429|55107|55429|55429|55429|55107|55107|55429|55429|55429|55429|55429|55429|55429|55352|55429|55107|55429|55429|55042|55429|55429|55429|55042|55107|55429|55107|55429|55121|55429|55429|55107|55429|55042|55121|55429|55429|55429|55429|55429,252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225,126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|84.10054624341741|84.10054624341741|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|84.10054624341741|84.10054624341741|84.10054624341741|126.15081936512613|84.10054624341741|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|84.10054624341741|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613
Electric HP,SF,83,3299|4351|7351|19746|35327|48050|51713|51738|65817|76899|82908|85441|86073|94903|97063|99950|102748|103644|110310|110683|120008|121655|122111|124617|125165|125965|127644|157191|158114|167186|183924|185346|186933|192686|198498|203505|212874|219421|223615|242144|248836|251049|254447|259163|261349|269585|272138|275229|297931|303101|320325|322040|324348|325484|329587|331002|350011|360614|366679|371598|372493|377986|379820|387300|404732|413957|418617|425289|432933|436762|438446|440044|454660|471286|480924|492186|495044|496386|510966|514791|515215|533592|534667,55429|55429|55429|55042|55042|55042|55429|55429|55429|55352|55352|55107|55121|55429|55429|55042|55429|55042|55121|55429|55107|55429|55429|55429|55121|55429|55107|55429|55107|55352|55042|55987|55429|55387|55352|55042|55352|55987|55429|55352|55107|55107|55429|55107|55107|55107|55121|55387|55387|55121|55107|55429|55429|55429|55121|55429|55429|55121|55429|55429|55121|55352|55021|55429|55429|55107|55429|55352|55121|55429|55429|55429|55387|55429|55429|55042|55352|55429|55107|55107|55042|55352|55107,252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225,126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|84.10054624341741|84.10054624341741|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|84.10054624341741|126.15081936512613|84.10054624341741|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|84.10054624341741|84.10054624341741|84.10054624341741|126.15081936512613|84.10054624341741|84.10054624341741|84.10054624341741|84.10054624341741|126.15081936512613|126.15081936512613|84.10054624341741|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|84.10054624341741|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|84.10054624341741|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|84.10054624341741|84.10054624341741|126.15081936512613|84.10054624341741|84.10054624341741
Electric HP,Small MF,9,42775|115496|209874|246255|274191|340489|396970|499213|547296,55429|55107|55107|55021|55429|55107|55107|55107|55352,252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225,126.15081936512613|84.10054624341741|84.10054624341741|126.15081936512613|126.15081936512613|84.10054624341741|84.10054624341741|84.10054624341741|84.10054624341741
Electric Resistance,Large MF,328,5071|7913|8444|8903|12710|12996|16529|17736|17924|19480|20719|21547|33199|36798|38935|39405|40881|41794|42314|43367|43882|43907|47602|58730|62226|62346|63344|64937|65018|65828|68300|70763|71571|73201|73339|75642|76629|81915|83333|86745|87618|90930|91332|92077|92521|92807|93314|97070|100154|102338|103586|104041|104884|106171|106972|107581|111873|114931|122508|124006|124723|126327|128810|134563|136199|136557|139901|140201|141450|142364|143262|145076|145873|149089|150528|150669|150860|152867|153247|153729|155019|158130|158631|167831|168795|169676|170739|171526|178388|182414|186258|187263|190145|194082|195147|196203|196628|197716|199898|201643|202219|206592|206991|210259|211052|211972|212843|213697|218837|219144|220928|223668|225665|226286|230740|233403|236886|238560|238662|238740|239011|240447|241461|241654|242196|242380|243642|243870|245003|246905|247103|247805|253344|254330|256764|256797|256902|257898|258711|260786|263747|264670|264929|264977|266854|266987|266989|267011|268008|268715|271360|275079|276083|276435|277265|278695|284175|284386|285111|286957|289760|293430|293533|293635|293850|295152|295873|298500|299492|304263|307057|309797|312318|313737|316925|318585|321816|325007|326601|326791|329653|331049|333087|338051|340714|343327|344080|345290|345773|346870|349417|350602|352289|353974|354428|355874|356551|359788|361781|361815|362014|362500|363438|365017|365125|368264|370656|375467|376169|378103|379296|380747|381688|383969|384746|386337|388057|388779|389444|391728|393088|393962|397817|398345|401477|403346|408995|411311|413348|414813|415278|419384|420779|421557|424510|424796|425307|427295|429967|432473|433048|434171|435291|437425|438019|438879|440202|440586|441494|442365|442953|444629|447000|447892|448030|448396|450882|451435|454206|457481|459547|461536|461721|462890|463081|464259|468912|471794|476473|476506|479760|480070|480902|482425|482737|484485|485223|486867|489198|489340|489440|490816|493692|494159|494928|495867|498075|499392|500236|503214|504144|504615|504872|504915|508333|509935|512533|513872|518066|523503|523519|523678|524297|524843|525606|525859|526925|528931|529293|529604|529739|530110|530922|532905|533490|534143|534830|536744|540010|540634|541224|543584|543928|544199|544654|546122|546786|549703,55121|55429|55107|55429|55429|55429|55429|55429|55121|55387|55429|55352|55107|55429|55429|55429|55107|55429|55121|55429|55429|55429|55121|55429|55042|55429|55107|55429|55107|55107|55121|55107|55429|55121|55429|55429|55429|55429|55107|55429|55429|55429|55107|55429|55429|55121|55429|55987|55107|55107|55429|55121|55107|55429|55107|55429|55429|55121|55429|55429|55429|55107|55429|55121|55429|55429|55429|55429|55107|55429|55429|55429|55429|55107|55107|55121|55429|55429|55429|55107|55042|55429|55429|55121|55429|55107|55042|55429|55429|55429|55429|55107|55429|55429|55107|55429|55121|55429|55107|55107|55429|55352|55042|55429|55107|55429|55121|55121|55352|55429|55429|55107|55429|55121|55387|55429|55107|55429|55429|55107|55429|55429|55429|55429|55107|55107|55107|55429|55121|55042|55429|55121|55429|55429|55429|55429|55042|55429|55429|55429|55429|55121|55429|55429|55352|55107|55107|55429|55107|55107|55429|55352|55107|55429|55121|55107|55107|55107|55107|55107|55429|55429|55107|55429|55121|55429|55352|55987|55429|55429|55107|55429|55429|55429|55429|55107|55352|55429|55429|55429|55121|55107|55042|55429|55107|55429|55121|55429|55429|55429|55429|55429|55107|55429|55107|55429|55429|55352|55107|55429|55107|55107|55042|55429|55429|55107|55042|55429|55429|55107|55429|55107|55987|55107|55429|55121|55387|55429|55107|55429|55429|55429|55429|55429|55429|55107|55429|55429|55107|55107|55429|55121|55429|55429|55429|55107|55429|55429|55429|55429|55107|55021|55352|55429|55107|55429|55107|55107|55429|55429|55121|55121|55429|55429|55107|55429|55429|55107|55429|55429|55107|55429|55429|55429|55107|55429|55429|55429|55429|55429|55429|55429|55107|55429|55429|55429|55429|55429|55107|55107|55429|55107|55429|55107|55107|55107|55121|55429|55429|55107|55121|55429|55429|55107|55429|55042|55107|55429|55107|55107|55107|55429|55429|55042|55429|55429|55107|55121|55107|55429|55107|55107|55042|55429|55429|55429|55107|55429|55429|55429|55429|55429|55107|55429|55429|55429|55429|55121,252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225,84.10054624341741|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|84.10054624341741|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|84.10054624341741|84.10054624341741|84.10054624341741|84.10054624341741|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|84.10054624341741|84.10054624341741|126.15081936512613|84.10054624341741|84.10054624341741|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|84.10054624341741|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|84.10054624341741|126.15081936512613|84.10054624341741|84.10054624341741|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|84.10054624341741|84.10054624341741|84.10054624341741|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|84.10054624341741|84.10054624341741|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|84.10054624341741|84.10054624341741|84.10054624341741|126.15081936512613|84.10054624341741|84.10054624341741|126.15081936512613|84.10054624341741|84.10054624341741|126.15081936512613|84.10054624341741|84.10054624341741|84.10054624341741|84.10054624341741|84.10054624341741|84.10054624341741|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|84.10054624341741|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|84.10054624341741|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|84.10054624341741|84.10054624341741|126.15081936512613|84.10054624341741|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|84.10054624341741|126.15081936512613|84.10054624341741|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|84.10054624341741|84.10054624341741|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|84.10054624341741|126.15081936512613|84.10054624341741|126.15081936512613|84.10054624341741|84.10054624341741|126.15081936512613|126.15081936512613|84.10054624341741|84.10054624341741|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|84.10054624341741|126.15081936512613|84.10054624341741|126.15081936512613|84.10054624341741|84.10054624341741|84.10054624341741|84.10054624341741|126.15081936512613|126.15081936512613|84.10054624341741|84.10054624341741|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|84.10054624341741|84.10054624341741|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|84.10054624341741|84.10054624341741|126.15081936512613|84.10054624341741|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741|126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613|84.10054624341741
