heating_type,building_type,area,income,climate_zone,vintage,insulation_level,count,bldg_ids,zip_codes,elec_weights,gas_weights
Electric Resistance,Large MF,0-1499,Moderate Income,Cold,1960-2000,Poor Insulation,10,69429|75722|119240|216188|233307|292605|298569|411827|433519|524855,02360|02360|02746|02746|02746|02360|02360|02746|02746|02746,252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225,126.15081936512613|126.15081936512613|252.30163873025225|252.30163873025225|252.30163873025225|126.15081936512613|126.15081936512613|252.30163873025225|252.30163873025225|252.30163873025225
Electric Resistance,Large MF,0-1499,Moderate Income,Cold,<1960,Poor Insulation,3,148156|255127|369865,02360|02746|02360,252.30163873025225|252.30163873025225|252.30163873025225,126.15081936512613|252.30163873025225|126.15081936512613
Electric Resistance,Large MF,0-1499,Moderate Income,Cold,>2000,Average Insulation,2,352447|483430,02360|02360,252.30163873025225|252.30163873025225,126.15081936512613|126.15081936512613
Electric Resistance,Large MF,1500-2499,High Income,Cold,1960-2000,Poor Insulation,1,501210,02360,252.30163873025225,126.15081936512613
Electric Resistance,Large MF,4000+,Low Income,Cold,1960-2000,Average Insulation,1,272977,02746,252.30163873025225,252.30163873025225
Electric Resistance,SF,0-1499,High Income,Cold,1960-2000,Poor Insulation,1,44066,02746,252.30163873025225,252.30163873025225
Electric Resistance,SF,0-1499,Low Income,Cold,1960-2000,Poor Insulation,2,8828|9589,02746|02746,252.30163873025225|252.30163873025225,252.30163873025225|252.30163873025225
Electric Resistance,SF,0-1499,Low Income,Cold,<1960,Poor Insulation,1,455113,02746,252.30163873025225,252.30163873025225
Electric Resistance,SF,0-1499,Moderate Income,Cold,1960-2000,Poor Insulation,1,343762,02746,252.30163873025225,252.30163873025225
Electric Resistance,SF,1500-2499,High Income,Cold,1960-2000,Average Insulation,1,56777,02360,252.30163873025225,126.15081936512613
Electric Resistance,SF,1500-2499,High Income,Cold,1960-2000,Poor Insulation,5,43263|128448|301075|330035|400578,02360|02360|02746|02360|02360,252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225,126.15081936512613|126.15081936512613|252.30163873025225|126.15081936512613|126.15081936512613
Electric Resistance,SF,1500-2499,High Income,Cold,<1960,Poor Insulation,1,419511,02360,252.30163873025225,126.15081936512613
Electric Resistance,SF,1500-2499,Low Income,Cold,1960-2000,Poor Insulation,1,222982,02746,252.30163873025225,252.30163873025225
Electric Resistance,SF,1500-2499,Low Income,Cold,<1960,Poor Insulation,1,114396,02360,252.30163873025225,126.15081936512613
Electric Resistance,SF,1500-2499,Moderate Income,Cold,1960-2000,Poor Insulation,2,28739|431351,02360|02746,252.30163873025225|252.30163873025225,126.15081936512613|252.30163873025225
Electric Resistance,SF,1500-2499,Moderate Income,Cold,<1960,Poor Insulation,3,254412|280036|290852,02746|02360|02746,252.30163873025225|252.30163873025225|252.30163873025225,252.30163873025225|126.15081936512613|252.30163873025225
Electric Resistance,SF,1500-2499,Moderate Income,Cold,>2000,Poor Insulation,1,137145,02746,252.30163873025225,252.30163873025225
Electric Resistance,SF,2500-3999,High Income,Cold,1960-2000,Average Insulation,3,15208|86634|152045,02746|02360|02360,252.30163873025225|252.30163873025225|252.30163873025225,252.30163873025225|126.15081936512613|126.15081936512613
Electric Resistance,SF,2500-3999,High Income,Cold,1960-2000,Poor Insulation,3,186050|279755|408484,02746|02746|02360,252.30163873025225|252.30163873025225|252.30163873025225,252.30163873025225|252.30163873025225|126.15081936512613
Electric Resistance,SF,2500-3999,High Income,Cold,<1960,Poor Insulation,1,287842,02360,252.30163873025225,126.15081936512613
Electric Resistance,SF,4000+,High Income,Cold,>2000,Average Insulation,1,259546,02360,252.30163873025225,126.15081936512613
Electric Resistance,Small MF,0-1499,High Income,Cold,1960-2000,Average Insulation,1,240963,02360,252.30163873025225,126.15081936512613
Electric Resistance,Small MF,0-1499,High Income,Cold,1960-2000,Poor Insulation,3,381209|449618|475985,02746|02746|02746,252.30163873025225|252.30163873025225|252.30163873025225,252.30163873025225|252.30163873025225|252.30163873025225
Electric Resistance,Small MF,0-1499,Low Income,Cold,1960-2000,Poor Insulation,17,10004|76759|83810|91866|118284|145735|169715|193914|225901|230146|240375|243876|246550|271342|313522|389666|541231,02360|02746|02360|02746|02360|02360|02360|02746|02746|02360|02360|02746|02360|02360|02360|02746|02360,252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225,126.15081936512613|252.30163873025225|126.15081936512613|252.30163873025225|126.15081936512613|126.15081936512613|126.15081936512613|252.30163873025225|252.30163873025225|126.15081936512613|126.15081936512613|252.30163873025225|126.15081936512613|126.15081936512613|126.15081936512613|252.30163873025225|126.15081936512613
Electric Resistance,Small MF,0-1499,Low Income,Cold,<1960,Poor Insulation,8,24687|159838|299513|304139|316644|418152|441826|458756,02746|02746|02746|02746|02746|02746|02746|02746,252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225,252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225
Electric Resistance,Small MF,0-1499,Moderate Income,Cold,1960-2000,Average Insulation,2,439979|506544,02746|02746,252.30163873025225|252.30163873025225,252.30163873025225|252.30163873025225
Electric Resistance,Small MF,0-1499,Moderate Income,Cold,1960-2000,Poor Insulation,7,26067|143808|196656|210870|354157|386835|458218,02746|02746|02360|02746|02360|02360|02360,252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225,252.30163873025225|252.30163873025225|126.15081936512613|252.30163873025225|126.15081936512613|126.15081936512613|126.15081936512613
Electric Resistance,Small MF,0-1499,Moderate Income,Cold,<1960,Poor Insulation,8,34605|130483|140268|218375|382692|476248|501641|514207,02746|02746|02746|02360|02746|02360|02746|02360,252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225,252.30163873025225|252.30163873025225|252.30163873025225|126.15081936512613|252.30163873025225|126.15081936512613|252.30163873025225|126.15081936512613
Electric Resistance,Small MF,0-1499,Moderate Income,Cold,>2000,Average Insulation,1,181654,02746,252.30163873025225,252.30163873025225
Electric Resistance,Small MF,1500-2499,High Income,Cold,1960-2000,Poor Insulation,1,541124,02746,252.30163873025225,252.30163873025225
Electric Resistance,Small MF,1500-2499,Moderate Income,Cold,<1960,Poor Insulation,1,514622,02746,252.30163873025225,252.30163873025225
Natural Gas,Large MF,0-1499,High Income,Cold,1960-2000,Poor Insulation,1,120234,02360,252.30163873025225,126.15081936512613
Natural Gas,Large MF,0-1499,High Income,Cold,<1960,Poor Insulation,1,76869,02360,252.30163873025225,126.15081936512613
Natural Gas,Large MF,0-1499,High Income,Cold,>2000,Average Insulation,3,8261|273325|288238,02360|02746|02746,252.30163873025225|252.30163873025225|252.30163873025225,126.15081936512613|252.30163873025225|252.30163873025225
Natural Gas,Large MF,0-1499,High Income,Cold,>2000,Poor Insulation,2,85950|477667,02360|02746,252.30163873025225|252.30163873025225,126.15081936512613|252.30163873025225
Natural Gas,Large MF,0-1499,Low Income,Cold,1960-2000,Average Insulation,3,63746|106154|173920,02746|02360|02746,252.30163873025225|252.30163873025225|252.30163873025225,252.30163873025225|126.15081936512613|252.30163873025225
Natural Gas,Large MF,0-1499,Low Income,Cold,1960-2000,Poor Insulation,14,131845|176818|196815|232158|254025|274226|279987|283988|298946|352612|408138|431936|482089|504318,02360|02360|02746|02746|02746|02360|02360|02746|02746|02746|02746|02746|02360|02360,252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225,126.15081936512613|126.15081936512613|252.30163873025225|252.30163873025225|252.30163873025225|126.15081936512613|126.15081936512613|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|126.15081936512613|126.15081936512613
Natural Gas,Large MF,0-1499,Low Income,Cold,<1960,Average Insulation,1,230201,02746,252.30163873025225,252.30163873025225
