tariff,rateName,EffDate,Rate,Rate Determinant,Start,End,Season,tou,period
Residential Electric Vehicle,Affordability Surcharge,2024-01-01,1.95670389,per month,"","","","",""
Residential Electric Vehicle,Conservation Improvement Program Adjustment,2024-01-01,-0.000389,per kwh,"","","","",""
Residential Electric Vehicle,Customer Charge,2024-01-01,16.63,per month,"","","","",""
Residential Electric Vehicle,Energy Charge - Summer Mid-Peak,2024-01-01,0.11307,per kwh,"","",06/01-09/30,"[([1, 5], [20, 0]), ([1, 5], [6, 15]), ([6, 7], [6, 0])]",PARTIAL_PEAK
Residential Electric Vehicle,Energy Charge - Summer Off-Peak,2024-01-01,0.03825,per kwh,"","",06/01-09/30,"[([1, 5], [0, 6]), ([6, 7], [0, 6])]",OFF_PEAK
Residential Electric Vehicle,Energy Charge - Summer On-Peak,2024-01-01,0.27845,per kwh,"","",06/01-09/30,"[([1, 5], [15, 20])]",ON_PEAK
Residential Electric Vehicle,Energy Charge - Winter Mid-Peak,2024-01-01,0.09907,per kwh,"","",10/01-05/31,"[([1, 5], [20, 0]), ([1, 5], [6, 15]), ([6, 7], [6, 0])]",PARTIAL_PEAK
Residential Electric Vehicle,Energy Charge - Winter Off-Peak,2024-01-01,0.03825,per kwh,"","",10/01-05/31,"[([1, 5], [0, 6]), ([6, 7], [0, 6])]",OFF_PEAK
Residential Electric Vehicle,Energy Charge - Winter On-Peak,2024-01-01,0.24869,per kwh,"","",10/01-05/31,"[([1, 5], [15, 20])]",ON_PEAK
Residential Electric Vehicle,Fuel Cost Charge,2024-01-01,0.02616334,per kwh,"","","","",""
Residential Electric Vehicle,Renewable Development Fund,2024-01-01,0.00121637,per kwh,"","","","",""
Residential Electric Vehicle,Renewable Energy Standard Adjustment,2024-01-01,2.41,per month,"","","","",""
Residential Electric Vehicle,Transmission Cost Recovery Charge,2024-01-01,0.00485492,per kwh,"","","","",""
