rateName,cost
AGCE Adjustment,0.17315628000000002
Advanced Metering Infrastructure(AMI),25.453973160000004
Basic Service Cost True Up Factor,26.57948898
Customer Charge,120.0
Distributed Solar (SMART),50.167443488580005
Distribution Energy Charge,542.3254689600001
Energy  Efficiency Reconciliation Factor,220.96654704894001
Exogenous Cost Adjustment,-0.34631256000000005
Generation Charge Basic Svc Fixed,1225.4482052043
Grid Modernization Factor,19.133768940000003
LTRCA Adjustment,4.50206328
Net Metering Recovery Surcharge,140.42974307999998
Pension Adjustment,23.808988499999998
Renewable Energy Charge,4.328907
Residential Assistance Adjustment Factor,90.64731258
Revenue Decoupling Adjustment Mechanism,-7.3591419
SCRA Adjustment,73.591419
Solar Expansion Cost Recovery Factor (SECRF),-2.68392234
Solar Program Cost Adjustment Factor (SPCA),1.47182838
System Benefits Charge,21.644535
Tax Act Credit Factor (TACF),-7.18598562
Transition Energy Charge,-8.2249233
Transmission Charge,393.4976463
Vegetation Management (RTWF),15.93037776
