rateName,cost
California Climate Credit,-116.46
Conservation Incentive Adjustment - Summer - Territory S,259.17911673
Conservation Incentive Adjustment - Winter - Territory S,352.75479321999995
Distribution Charge - Summer Off-Peak,528.66338856
Distribution Charge - Summer Peak,238.92259787
Distribution Charge - Winter Off-Peak,632.57543529
Distribution Charge - Winter Peak,232.796949
Energy Cost Recovery Amount,0.09305215000000001
Energy Surcharge,2.7915645
Generation Charge - Summer Off-Peak,313.16047440000006
Generation Charge - Summer Peak,231.3998833
Generation Charge - Winter Off-Peak,469.7528653
Generation Charge - Winter Peak,202.826862
New System Generation,53.4119341
Nuclear Decommissioning,-2.2332516
Ongoing CTC,-6.699754800000001
Public Purpose Programs,246.02988460000003
Recovery Bond Charge,60.20474105
Recovery Bond Credit,-60.20474105
Reliability Services,2.9776688000000004
Transmission,476.6131123
Transmission Rate Adjustments,-112.87225795
Wildfire Fund Charge,55.366029250000004
Wildfire Hardening,44.10671910000001
