rateName,cost
California Climate Credit,-116.46
Conservation Incentive Adjustment - Summer - Territory S,188.71423192999998
Conservation Incentive Adjustment - Winter - Territory S,302.54997672999997
Distribution Charge - Summer Off-Peak,379.32810717
Distribution Charge - Summer Peak,185.36912185
Distribution Charge - Winter Off-Peak,551.46659586
Distribution Charge - Winter Peak,192.72007623
Energy Cost Recovery Amount,0.07513002
Energy Surcharge,2.2539006
Generation Charge - Summer Off-Peak,224.69982330000005
Generation Charge - Summer Peak,179.5325915
Generation Charge - Winter Off-Peak,409.5211402
Generation Charge - Winter Peak,167.90945273999998
New System Generation,43.124631480000005
Nuclear Decommissioning,-1.8031204800000002
Ongoing CTC,-5.4093614400000005
Public Purpose Programs,198.64377288000003
Recovery Bond Charge,48.609122940000006
Recovery Bond Credit,-48.609122940000006
Reliability Services,2.40416064
Transmission,384.81596244
Transmission Rate Adjustments,-91.13271426
Wildfire Fund Charge,44.70236190000001
Wildfire Hardening,35.611629480000005
