timestamp,units_represented,electricity.total,natural_gas.total
2025-01-01T00:00:00.000000000,551279.0806255975,12045619.981386922,7059562.754354008
2025-01-01T01:00:00.000000000,551279.0806255975,14972717.122643743,8564796.550527198
2025-01-01T02:00:00.000000000,551279.0806255975,13387539.734921167,6601119.537179217
2025-01-01T03:00:00.000000000,551279.0806255975,15115311.449011473,3091059.3877830477
2025-01-01T04:00:00.000000000,551279.0806255975,16377727.928562153,2763634.3301186515
2025-01-01T05:00:00.000000000,551279.0806255975,16770051.426151643,2900746.2973276475
2025-01-01T06:00:00.000000000,551279.0806255975,17772674.422111616,2463395.642038484
2025-01-01T07:00:00.000000000,551279.0806255975,18832081.43409078,3263309.184960884
2025-01-01T08:00:00.000000000,551279.0806255975,20252733.42780063,4830585.09076965
2025-01-01T09:00:00.000000000,551279.0806255975,22115923.75735154,7643894.08742567
2025-01-01T10:00:00.000000000,551279.0806255975,22970591.521724045,8916027.039535366
2025-01-01T11:00:00.000000000,551279.0806255975,21594821.71882955,8876958.140530225
2025-01-01T12:00:00.000000000,551279.0806255975,19085263.60554019,9076955.159723265
2025-01-01T13:00:00.000000000,551279.0806255975,16728552.095708372,9751389.635614732
2025-01-01T14:00:00.000000000,551279.0806255975,15026098.34646137,9761108.243296362
2025-01-01T15:00:00.000000000,551279.0806255975,13756229.381105877,9192588.734066436
2025-01-01T16:00:00.000000000,551279.0806255975,12660823.214407766,8203407.7928546
2025-01-01T17:00:00.000000000,551279.0806255975,12093048.904943625,7598467.48061301
2025-01-01T18:00:00.000000000,551279.0806255975,12325952.332180103,7895316.209490744
2025-01-01T19:00:00.000000000,551279.0806255975,13403741.28465223,8900813.85264566
2025-01-01T20:00:00.000000000,551279.0806255975,15579966.294201978,10349869.829947695
2025-01-01T21:00:00.000000000,551279.0806255975,17817163.2746722,10814751.278106978
2025-01-01T22:00:00.000000000,551279.0806255975,19095124.058185056,10528827.377834601
2025-01-01T23:00:00.000000000,551279.0806255975,19674006.704199217,10285633.925879082
2025-01-02T00:00:00.000000000,551279.0806255975,19423626.59474953,10024070.763708103
2025-01-02T01:00:00.000000000,551279.0806255975,18358398.73166322,9178734.53291554
2025-01-02T02:00:00.000000000,551279.0806255975,17179700.477272734,7205864.124122879
2025-01-02T03:00:00.000000000,551279.0806255975,16927864.839669216,5015124.765561176
2025-01-02T04:00:00.000000000,551279.0806255975,17096262.559233174,3454209.007656202
2025-01-02T05:00:00.000000000,551279.0806255975,17834466.37335796,2832329.990749136
2025-01-02T06:00:00.000000000,551279.0806255975,18315996.413654946,2679810.8859679773
2025-01-02T07:00:00.000000000,551279.0806255975,19053841.707151093,3184301.677485463
2025-01-02T08:00:00.000000000,551279.0806255975,20032213.721897956,4772858.772015903
2025-01-02T09:00:00.000000000,551279.0806255975,21868040.42491873,7587868.589715729
2025-01-02T10:00:00.000000000,551279.0806255975,22768871.567828067,8927631.39798128
2025-01-02T11:00:00.000000000,551279.0806255975,21086862.324970663,8661629.478864828
2025-01-02T12:00:00.000000000,551279.0806255975,18221004.342069726,8759039.379057292
2025-01-02T13:00:00.000000000,551279.0806255975,16050840.879390465,9363920.019853689
2025-01-02T14:00:00.000000000,551279.0806255975,14399086.135239752,9360226.231694251
2025-01-02T15:00:00.000000000,551279.0806255975,13581016.489676539,8838046.368936535
2025-01-02T16:00:00.000000000,551279.0806255975,12777999.41218162,7795554.278319129
2025-01-02T17:00:00.000000000,551279.0806255975,12302487.77517491,7182818.7457966395
2025-01-02T18:00:00.000000000,551279.0806255975,12546007.803067515,7389479.224254298
2025-01-02T19:00:00.000000000,551279.0806255975,13705586.134671744,8533931.329130407
2025-01-02T20:00:00.000000000,551279.0806255975,15754901.906130347,10033018.744621681
2025-01-02T21:00:00.000000000,551279.0806255975,17813645.432923384,10599822.79223017
2025-01-02T22:00:00.000000000,551279.0806255975,18860245.866022233,10268295.489078887
2025-01-02T23:00:00.000000000,551279.0806255975,19236535.089867137,9841625.356998645
2025-01-03T00:00:00.000000000,551279.0806255975,18896839.695703674,9479688.982568791
2025-01-03T01:00:00.000000000,551279.0806255975,17513196.063267685,8601908.492322292
2025-01-03T02:00:00.000000000,551279.0806255975,15952913.025936985,6604169.213865191
2025-01-03T03:00:00.000000000,551279.0806255975,15316554.048206966,4508915.4807874905
2025-01-03T04:00:00.000000000,551279.0806255975,15614334.318826538,3187053.0708877775
2025-01-03T05:00:00.000000000,551279.0806255975,16030635.55495439,2564624.1450118064
2025-01-03T06:00:00.000000000,551279.0806255975,16383338.612404238,2503000.9185695667
2025-01-03T07:00:00.000000000,551279.0806255975,17102488.606772117,3110788.897102744
2025-01-03T08:00:00.000000000,551279.0806255975,18156064.423276946,4684895.667568842
2025-01-03T09:00:00.000000000,551279.0806255975,20028472.59319886,7583946.91135296
2025-01-03T10:00:00.000000000,551279.0806255975,21356663.3530616,8712206.537368922
2025-01-03T11:00:00.000000000,551279.0806255975,20451657.374936197,8680741.569885433
2025-01-03T12:00:00.000000000,551279.0806255975,17965695.267805807,8759899.402079662
2025-01-03T13:00:00.000000000,551279.0806255975,15862699.042786043,9344618.11892006
2025-01-03T14:00:00.000000000,551279.0806255975,14438748.45745143,9250470.849270025
2025-01-03T15:00:00.000000000,551279.0806255975,13551892.554612996,8871169.344865609
2025-01-03T16:00:00.000000000,551279.0806255975,12766867.359277561,7883465.99285986
2025-01-03T17:00:00.000000000,551279.0806255975,12308140.845692297,7198763.961567907
2025-01-03T18:00:00.000000000,551279.0806255975,12641969.217548735,7382562.29074665
2025-01-03T19:00:00.000000000,551279.0806255975,13811321.462335736,8554741.209560053
2025-01-03T20:00:00.000000000,551279.0806255975,15763253.090372322,10059364.390126785
2025-01-03T21:00:00.000000000,551279.0806255975,17838169.90911288,10593330.583358448
2025-01-03T22:00:00.000000000,551279.0806255975,19108062.843124054,10259968.549637657
2025-01-03T23:00:00.000000000,551279.0806255975,19343381.806249738,9854938.22648874
2025-01-04T00:00:00.000000000,551279.0806255975,18910126.656904124,9547684.33556925
2025-01-04T01:00:00.000000000,551279.0806255975,17780355.745502755,8723453.015028294
2025-01-04T02:00:00.000000000,551279.0806255975,16328082.787410839,6632386.708980064
2025-01-04T03:00:00.000000000,551279.0806255975,15880990.659292348,4522669.342221992
2025-01-04T04:00:00.000000000,551279.0806255975,16248392.557912972,3186379.3824898074
2025-01-04T05:00:00.000000000,551279.0806255975,16882080.922797035,2585744.2873795363
2025-01-04T06:00:00.000000000,551279.0806255975,17694623.64866222,2470041.2072637747
2025-01-04T07:00:00.000000000,551279.0806255975,18373242.393974643,3140153.9029461998
2025-01-04T08:00:00.000000000,551279.0806255975,19639890.47661011,4752743.135946762
2025-01-04T09:00:00.000000000,551279.0806255975,21519820.26298585,7640548.789379243
2025-01-04T10:00:00.000000000,551279.0806255975,22705710.62788998,8908236.995216252
2025-01-04T11:00:00.000000000,551279.0806255975,21295558.923780806,8793322.731677108
2025-01-04T12:00:00.000000000,551279.0806255975,18851294.70848337,8887932.436541822
2025-01-04T13:00:00.000000000,551279.0806255975,16461813.00030506,9316550.800639374
2025-01-04T14:00:00.000000000,551279.0806255975,14767883.514224203,9406764.709041461
2025-01-04T15:00:00.000000000,551279.0806255975,13773956.85114798,8881066.671113571
2025-01-04T16:00:00.000000000,551279.0806255975,12831381.645205803,7777285.721185483
2025-01-04T17:00:00.000000000,551279.0806255975,12475276.300157685,7174226.205573328
2025-01-04T18:00:00.000000000,551279.0806255975,12711769.222808372,7386659.138444814
2025-01-04T19:00:00.000000000,551279.0806255975,13698016.8332082,8631972.105122617
2025-01-04T20:00:00.000000000,551279.0806255975,15760187.37316011,9970832.003825262
2025-01-04T21:00:00.000000000,551279.0806255975,17779811.278566383,10613340.555864789
2025-01-04T22:00:00.000000000,551279.0806255975,18876620.24237583,10240743.844476989
2025-01-04T23:00:00.000000000,551279.0806255975,19228732.157086134,9832552.635405954
2025-01-05T00:00:00.000000000,551279.0806255975,18622096.078510005,9478584.654149992
2025-01-05T01:00:00.000000000,551279.0806255975,17403537.192819804,8693047.123269107
2025-01-05T02:00:00.000000000,551279.0806255975,15928747.070376124,6630591.463604768
2025-01-05T03:00:00.000000000,551279.0806255975,15336693.269613687,4495722.767553208
2025-01-05T04:00:00.000000000,551279.0806255975,15540106.67210882,3165744.0798570667
2025-01-05T05:00:00.000000000,551279.0806255975,16013992.22505391,2578884.8809900554
2025-01-05T06:00:00.000000000,551279.0806255975,16857742.897518564,2509301.6907974104
2025-01-05T07:00:00.000000000,551279.0806255975,18095062.42846147,3078611.199680932
2025-01-05T08:00:00.000000000,551279.0806255975,19216668.85883352,4661901.900975869
2025-01-05T09:00:00.000000000,551279.0806255975,21098474.760194857,7517774.975748394
2025-01-05T10:00:00.000000000,551279.0806255975,21906776.54781463,8838429.759820463
2025-01-05T11:00:00.000000000,551279.0806255975,20519250.49776186,8784011.915842133
2025-01-05T12:00:00.000000000,551279.0806255975,18230128.578532763,8949843.224632584
2025-01-05T13:00:00.000000000,551279.0806255975,16199049.421823222,9433082.84800677
2025-01-05T14:00:00.000000000,551279.0806255975,14580717.580358384,9276177.928975008
2025-01-05T15:00:00.000000000,551279.0806255975,13643078.151374687,8794572.57856449
2025-01-05T16:00:00.000000000,551279.0806255975,12618886.140621305,7828920.6723369025
2025-01-05T17:00:00.000000000,551279.0806255975,11889657.452691067,7169217.353407973
2025-01-05T18:00:00.000000000,551279.0806255975,12018400.166790865,7365450.043476625
2025-01-05T19:00:00.000000000,551279.0806255975,13246837.418542275,8564990.870921213
2025-01-05T20:00:00.000000000,551279.0806255975,15369608.793704078,10096723.816837696
2025-01-05T21:00:00.000000000,551279.0806255975,17511874.002680734,10593672.418663448
2025-01-05T22:00:00.000000000,551279.0806255975,18693950.32371218,10279594.98337544
2025-01-05T23:00:00.000000000,551279.0806255975,19117530.20981577,9823518.659584366
2025-01-06T00:00:00.000000000,551279.0806255975,18634213.873916578,9528320.988574956
2025-01-06T01:00:00.000000000,551279.0806255975,17507679.74023849,8567012.23188437
