timestamp,units_represented,electricity.total,natural_gas.total
2025-01-01T00:00:00.000000000,199318.294596898,14133465.493000936,1351802.8348094628
2025-01-01T01:00:00.000000000,199318.294596898,19161236.42269301,2016099.0064605435
2025-01-01T02:00:00.000000000,199318.294596898,19093073.350465454,2119289.125009517
2025-01-01T03:00:00.000000000,199318.294596898,18977723.311952733,1803354.702516305
2025-01-01T04:00:00.000000000,199318.294596898,19289566.623613488,2193418.880037464
2025-01-01T05:00:00.000000000,199318.294596898,19693380.94703731,2902726.620308052
2025-01-01T06:00:00.000000000,199318.294596898,20670173.301224075,4257210.973035679
2025-01-01T07:00:00.000000000,199318.294596898,21931680.23336714,4778052.406017118
2025-01-01T08:00:00.000000000,199318.294596898,21470458.20427319,4570405.980781003
2025-01-01T09:00:00.000000000,199318.294596898,20366219.461806417,4525571.947650853
2025-01-01T10:00:00.000000000,199318.294596898,20124981.249934483,4847552.263224963
2025-01-01T11:00:00.000000000,199318.294596898,19024679.169936817,4907344.678040187
2025-01-01T12:00:00.000000000,199318.294596898,17743365.80224852,4627081.65323393
2025-01-01T13:00:00.000000000,199318.294596898,16700148.734125039,4012601.0821654946
2025-01-01T14:00:00.000000000,199318.294596898,16186204.24079219,3780274.7098702313
2025-01-01T15:00:00.000000000,199318.294596898,16427000.672494702,3862097.2750779693
2025-01-01T16:00:00.000000000,199318.294596898,17576776.580830984,4484015.185640762
2025-01-01T17:00:00.000000000,199318.294596898,19573448.353860326,5252197.199047545
2025-01-01T18:00:00.000000000,199318.294596898,20986004.240284972,5610621.091865194
2025-01-01T19:00:00.000000000,199318.294596898,21667321.603925243,5328135.213297572
2025-01-01T20:00:00.000000000,199318.294596898,22055016.123348948,5227164.325336711
2025-01-01T21:00:00.000000000,199318.294596898,21828036.48628822,5124151.890161716
2025-01-01T22:00:00.000000000,199318.294596898,21083258.448363043,4840116.032865277
2025-01-01T23:00:00.000000000,199318.294596898,20024275.807740223,4011478.7857650565
2025-01-02T00:00:00.000000000,199318.294596898,19859437.30739384,3057944.619450525
2025-01-02T01:00:00.000000000,199318.294596898,19858195.73102965,2258018.358450587
2025-01-02T02:00:00.000000000,199318.294596898,19602507.44740272,2014820.2481294589
2025-01-02T03:00:00.000000000,199318.294596898,19498126.979538713,1965260.709770738
2025-01-02T04:00:00.000000000,199318.294596898,20401984.9852079,2112873.076718405
2025-01-02T05:00:00.000000000,199318.294596898,21085309.40838428,2950049.107981644
2025-01-02T06:00:00.000000000,199318.294596898,22286031.325121168,4236088.168744744
2025-01-02T07:00:00.000000000,199318.294596898,23141741.095261626,4930804.724848021
2025-01-02T08:00:00.000000000,199318.294596898,22584533.683030784,4693621.082125504
2025-01-02T09:00:00.000000000,199318.294596898,21184620.127119638,4524062.932962477
2025-01-02T10:00:00.000000000,199318.294596898,19745541.787828397,4761495.983100903
2025-01-02T11:00:00.000000000,199318.294596898,18530122.543730557,4734177.922260305
2025-01-02T12:00:00.000000000,199318.294596898,17372816.69298637,4435551.915988913
2025-01-02T13:00:00.000000000,199318.294596898,16332389.576383967,3972129.4975155867
2025-01-02T14:00:00.000000000,199318.294596898,15686920.995685954,3608281.862224054
2025-01-02T15:00:00.000000000,199318.294596898,15901416.49536067,3742266.661204867
