timestamp,units_represented,electricity.total,natural_gas.total
2025-01-01T00:00:00.000000000,24977.862234294975,5714490.576020849,344695.9111920911
2025-01-01T01:00:00.000000000,24977.862234294975,7322865.333313197,460265.7472629462
2025-01-01T02:00:00.000000000,24977.862234294975,7190950.68301128,465581.46002006595
2025-01-01T03:00:00.000000000,24977.862234294975,7223855.610432841,379847.1986615815
2025-01-01T04:00:00.000000000,24977.862234294975,7359309.295821229,515858.5345673409
2025-01-01T05:00:00.000000000,24977.862234294975,7608682.721732374,727416.9517234489
2025-01-01T06:00:00.000000000,24977.862234294975,8129862.469159092,1154568.2264231173
2025-01-01T07:00:00.000000000,24977.862234294975,8306237.461936417,1321607.678637392
2025-01-01T08:00:00.000000000,24977.862234294975,7902005.074697223,1256360.095865997
2025-01-01T09:00:00.000000000,24977.862234294975,7234649.0745377205,1300826.4138822071
2025-01-01T10:00:00.000000000,24977.862234294975,6637247.488240763,1421347.5010579375
2025-01-01T11:00:00.000000000,24977.862234294975,6095379.763343081,1435411.6983728346
2025-01-01T12:00:00.000000000,24977.862234294975,5811264.401778778,1373140.0718030785
2025-01-01T13:00:00.000000000,24977.862234294975,5478231.53698926,1204111.1277618033
2025-01-01T14:00:00.000000000,24977.862234294975,5304925.541345451,1102354.9724552669
2025-01-01T15:00:00.000000000,24977.862234294975,5399600.974374061,1131278.9863543145
2025-01-01T16:00:00.000000000,24977.862234294975,6018979.042610981,1249347.1852383225
2025-01-01T17:00:00.000000000,24977.862234294975,6911256.403062449,1476408.5692019975
2025-01-01T18:00:00.000000000,24977.862234294975,7644683.642562795,1582203.2317231067
2025-01-01T19:00:00.000000000,24977.862234294975,8174998.980026296,1536337.7772930667
2025-01-01T20:00:00.000000000,24977.862234294975,8353405.0009953985,1558533.928174382
2025-01-01T21:00:00.000000000,24977.862234294975,8502433.523754029,1520661.4157655744
2025-01-01T22:00:00.000000000,24977.862234294975,8530816.448904626,1412539.6408242108
2025-01-01T23:00:00.000000000,24977.862234294975,8374966.194438009,1116825.7785398315
2025-01-02T00:00:00.000000000,24977.862234294975,8328145.317830642,801871.6092671109
2025-01-02T01:00:00.000000000,24977.862234294975,8391221.989021398,558563.1030752587
2025-01-02T02:00:00.000000000,24977.862234294975,8560683.916897513,468831.74219651206
2025-01-02T03:00:00.000000000,24977.862234294975,8605775.265771385,427872.3601191626
2025-01-02T04:00:00.000000000,24977.862234294975,8563752.40942775,489444.3445396926
2025-01-02T05:00:00.000000000,24977.862234294975,8829586.498852938,745522.5400030578
2025-01-02T06:00:00.000000000,24977.862234294975,9263926.54524509,1157021.3365417735
2025-01-02T07:00:00.000000000,24977.862234294975,9505253.314992212,1350986.1419814979
2025-01-02T08:00:00.000000000,24977.862234294975,9078839.57688241,1266204.9230729581
2025-01-02T09:00:00.000000000,24977.862234294975,8225302.6284546945,1253346.650912545
2025-01-02T10:00:00.000000000,24977.862234294975,7501647.031422369,1345418.2859429512
2025-01-02T11:00:00.000000000,24977.862234294975,7163046.878672631,1380344.2711900054
2025-01-02T12:00:00.000000000,24977.862234294975,6784003.782440987,1284767.8445477653
2025-01-02T13:00:00.000000000,24977.862234294975,6259840.820437923,1152493.25728429
2025-01-02T14:00:00.000000000,24977.862234294975,6164364.329706346,1066450.0649493241
2025-01-02T15:00:00.000000000,24977.862234294975,6365163.130319312,1065496.8006724457
2025-01-02T16:00:00.000000000,24977.862234294975,6735152.129943482,1238368.0829764965
2025-01-02T17:00:00.000000000,24977.862234294975,7274625.259987975,1434234.167065878
2025-01-02T18:00:00.000000000,24977.862234294975,7789094.036126106,1479221.7044342223
2025-01-02T19:00:00.000000000,24977.862234294975,7875955.435101602,1505530.2308990671
2025-01-02T20:00:00.000000000,24977.862234294975,7769563.366271998,1420993.687098516
2025-01-02T21:00:00.000000000,24977.862234294975,7533524.334269382,1392986.4839168908
2025-01-02T22:00:00.000000000,24977.862234294975,7156370.97731183,1296905.8446541082
2025-01-02T23:00:00.000000000,24977.862234294975,6727630.008886378,1036881.2740960114
2025-01-03T00:00:00.000000000,24977.862234294975,6501504.160571112,704584.2314844201
2025-01-03T01:00:00.000000000,24977.862234294975,6328431.039339852,525176.3749218887
2025-01-03T02:00:00.000000000,24977.862234294975,6267542.075658525,393065.865647119
2025-01-03T03:00:00.000000000,24977.862234294975,6263272.122724655,407116.38363443164
2025-01-03T04:00:00.000000000,24977.862234294975,6313735.225788732,460160.7491809444
2025-01-03T05:00:00.000000000,24977.862234294975,6437188.183730913,686155.1455930095
2025-01-03T06:00:00.000000000,24977.862234294975,6862146.64598852,1139111.8432716494
2025-01-03T07:00:00.000000000,24977.862234294975,7276467.314252343,1286029.5961472578
2025-01-03T08:00:00.000000000,24977.862234294975,7232769.175027542,1211522.9571587732
2025-01-03T09:00:00.000000000,24977.862234294975,6980168.306553759,1271688.0412227907
2025-01-03T10:00:00.000000000,24977.862234294975,6729386.785196856,1349757.6644220767
2025-01-03T11:00:00.000000000,24977.862234294975,6343103.893441848,1342296.9591573582
2025-01-03T12:00:00.000000000,24977.862234294975,6053543.105608831,1255976.778924379
2025-01-03T13:00:00.000000000,24977.862234294975,5729223.477912862,1129306.5012589057
2025-01-03T14:00:00.000000000,24977.862234294975,5537898.351532578,1040148.4151194273
2025-01-03T15:00:00.000000000,24977.862234294975,5616175.944155192,1044986.3126611274
2025-01-03T16:00:00.000000000,24977.862234294975,5992097.564512465,1202801.3136599862
2025-01-03T17:00:00.000000000,24977.862234294975,6436887.440177547,1403499.3799061663
2025-01-03T18:00:00.000000000,24977.862234294975,6797341.203969185,1534107.4553582636
2025-01-03T19:00:00.000000000,24977.862234294975,6866649.221033301,1504643.2928753966
2025-01-03T20:00:00.000000000,24977.862234294975,6743887.0649779625,1471688.1659929033
2025-01-03T21:00:00.000000000,24977.862234294975,6808951.368478635,1420774.8178571598
2025-01-03T22:00:00.000000000,24977.862234294975,6391057.099803837,1338756.8231207377
2025-01-03T23:00:00.000000000,24977.862234294975,5988155.856010582,1007419.9953632841
2025-01-04T00:00:00.000000000,24977.862234294975,5722315.459044429,711100.39766499
2025-01-04T01:00:00.000000000,24977.862234294975,5603037.840921594,483509.6606949412
2025-01-04T02:00:00.000000000,24977.862234294975,5577512.484131253,409354.2476849843
2025-01-04T03:00:00.000000000,24977.862234294975,5590388.950565491,377550.25470432494
2025-01-04T04:00:00.000000000,24977.862234294975,5744509.677298613,461117.5626887638
2025-01-04T05:00:00.000000000,24977.862234294975,6092507.309186137,694783.9914911541
2025-01-04T06:00:00.000000000,24977.862234294975,6693962.878214214,1163148.9358766258
2025-01-04T07:00:00.000000000,24977.862234294975,7060316.21122428,1310568.313391882
2025-01-04T08:00:00.000000000,24977.862234294975,7048294.795043699,1256320.536729468
2025-01-04T09:00:00.000000000,24977.862234294975,7138398.270076878,1266865.8194510795
2025-01-04T10:00:00.000000000,24977.862234294975,7036194.913053476,1360220.649351246
2025-01-04T11:00:00.000000000,24977.862234294975,6852466.084412079,1397071.8705568078
2025-01-04T12:00:00.000000000,24977.862234294975,6492365.795216304,1301993.889034831
2025-01-04T13:00:00.000000000,24977.862234294975,6372957.737146243,1141402.1324208917
2025-01-04T14:00:00.000000000,24977.862234294975,6307951.463022479,1082367.8481231097
2025-01-04T15:00:00.000000000,24977.862234294975,6577506.244714021,1080461.9111078428
2025-01-04T16:00:00.000000000,24977.862234294975,7250268.564388233,1258665.986842917
2025-01-04T17:00:00.000000000,24977.862234294975,8301947.829474726,1479730.8711896196
2025-01-04T18:00:00.000000000,24977.862234294975,8975292.713632766,1559821.4856405072
2025-01-04T19:00:00.000000000,24977.862234294975,9168236.607327145,1546103.5601692817
2025-01-04T20:00:00.000000000,24977.862234294975,9572360.252560046,1480258.0059266556
2025-01-04T21:00:00.000000000,24977.862234294975,9608391.197285475,1413270.560571104
2025-01-04T22:00:00.000000000,24977.862234294975,9236127.446086513,1346402.3102213175
2025-01-04T23:00:00.000000000,24977.862234294975,8954508.609237447,1049107.2655527645
2025-01-05T00:00:00.000000000,24977.862234294975,9004900.058636121,728785.1802511681
2025-01-05T01:00:00.000000000,24977.862234294975,9138030.298233444,545440.3392674365
2025-01-05T02:00:00.000000000,24977.862234294975,9424269.030389298,449832.56108521845
2025-01-05T03:00:00.000000000,24977.862234294975,9861462.103712214,423507.3976003381
2025-01-05T04:00:00.000000000,24977.862234294975,11417203.963847406,531107.2137664545
2025-01-05T05:00:00.000000000,24977.862234294975,11961419.103191836,775141.0940318543
2025-01-05T06:00:00.000000000,24977.862234294975,12254842.124510536,1192824.4994274103
2025-01-05T07:00:00.000000000,24977.862234294975,11441542.24142752,1337898.6486561513
2025-01-05T08:00:00.000000000,24977.862234294975,10637545.476669408,1263001.2984949225
2025-01-05T09:00:00.000000000,24977.862234294975,10075775.441603767,1310350.6272275061
2025-01-05T10:00:00.000000000,24977.862234294975,9542315.66881677,1403134.548542366
2025-01-05T11:00:00.000000000,24977.862234294975,8900468.87814273,1408405.4522588565
2025-01-05T12:00:00.000000000,24977.862234294975,8268673.027850786,1312288.285494307
2025-01-05T13:00:00.000000000,24977.862234294975,7724982.928216556,1149500.6640626157
2025-01-05T14:00:00.000000000,24977.862234294975,7466412.350668773,1033767.3415415455
2025-01-05T15:00:00.000000000,24977.862234294975,7631011.92136328,1104276.8810097675
2025-01-05T16:00:00.000000000,24977.862234294975,8263020.714238312,1240175.6767177759
2025-01-05T17:00:00.000000000,24977.862234294975,9211759.901516307,1446954.684700397
2025-01-05T18:00:00.000000000,24977.862234294975,10055253.983214365,1543531.9944679725
2025-01-05T19:00:00.000000000,24977.862234294975,10534383.121117186,1545088.3322355596
2025-01-05T20:00:00.000000000,24977.862234294975,10783927.102936117,1467177.0195247005
2025-01-05T21:00:00.000000000,24977.862234294975,10918910.245768273,1455027.706244733
2025-01-05T22:00:00.000000000,24977.862234294975,10828615.778394574,1328669.0214789473
2025-01-05T23:00:00.000000000,24977.862234294975,10494612.30920086,1072029.52993074
2025-01-06T00:00:00.000000000,24977.862234294975,10359404.617910238,723246.0138293938
2025-01-06T01:00:00.000000000,24977.862234294975,10431251.798666535,522866.34317553777
2025-01-06T02:00:00.000000000,24977.862234294975,10545978.147528315,441588.6588595398
2025-01-06T03:00:00.000000000,24977.862234294975,11948213.887722332,426727.51131378656
2025-01-06T04:00:00.000000000,24977.862234294975,12211445.990347294,423382.0653827374
2025-01-06T05:00:00.000000000,24977.862234294975,11567386.26199995,531156.5332880708
2025-01-06T06:00:00.000000000,24977.862234294975,11631902.061738025,698362.4296450114
2025-01-06T07:00:00.000000000,24977.862234294975,11782391.915588178,958954.7292690305
2025-01-06T08:00:00.000000000,24977.862234294975,11209311.70266154,1214293.8713312636
2025-01-06T09:00:00.000000000,24977.862234294975,10228487.06368458,1345402.758057585
2025-01-06T10:00:00.000000000,24977.862234294975,9037747.713585692,1369028.5095849722
2025-01-06T11:00:00.000000000,24977.862234294975,8150686.184911694,1413455.712118521
2025-01-06T12:00:00.000000000,24977.862234294975,7574584.40755962,1445899.4539762787
2025-01-06T13:00:00.000000000,24977.862234294975,7071748.755380064,1333802.096727233
2025-01-06T14:00:00.000000000,24977.862234294975,6898690.267643848,1255039.4861867349
2025-01-06T15:00:00.000000000,24977.862234294975,6978143.08129967,1271346.6495716623
2025-01-06T16:00:00.000000000,24977.862234294975,7359662.013512174,1340726.5723506296
2025-01-06T17:00:00.000000000,24977.862234294975,8040134.671265984,1587402.7811092234
