bldg_id,in.city,in.county_name,area,building_type,in.heating_setpoint,in.hvac_cooling_efficiency,cooling_type,heating_efficiency,heating_type,income,insulation_level,in.vintage,vintage,climate_zone,has_solar,in.weather_file_latitude,in.weather_file_longitude,out.bills.all_fuels.usd,out.bills.electricity.usd,out.bills.natural_gas.usd,out.electricity.cooling.energy_consumption.kwh,out.electricity.heating.energy_consumption.kwh,out.electricity.summer.peak.kw,out.electricity.total.energy_consumption.kwh,out.electricity.winter.peak.kw,out.energy_burden.percentage,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,weight,in.state,in.zip_code,in.utility_name,in.gas_utility_name,elec_weight,gas_weight
172722,In another census Place,Hennepin,0-1499,SF,68F,"Room AC, EER 12.0",Room AC,Medium Htg Eff,Natural Gas,Moderate Income,Poor Insulation,1950s,<1960,Cold,No,45.07,-93.35,1741.93481541015,841.52481541015,900.41,231.23307436588334,0.0,4.2554,6208.710621598528,5.9315,1.89,28711.00046049192,30013.115225267105,252.30163873025225,MN,55429,Northern States Power Co - Minnesota,Northern States Pwr Co|Centerpoint Energy,252.30163873025225,126.15081936512613
172724,In another census Place,Ramsey,2500-3999,SF,65F,"Room AC, EER 10.7",Room AC,High Htg Eff,Natural Gas,High Income,Poor Insulation,1980s,1960-2000,Cold,No,44.93,-93.05,3269.281248147997,1925.431248147997,1343.85,1347.5407806518776,0.0,7.169,14301.868224404443,8.817,1.22,46454.402261928764,47401.6079607254,252.30163873025225,MN,55107,Northern States Power Co - Minnesota,Centerpoint Energy|Northern States Pwr Co|Mn Energy Res Corp,252.30163873025225,84.10054624341741
172984,In another census Place,Anoka,1500-2499,SF,68F,"AC, SEER 13",High Eff AC,Medium Htg Eff,Natural Gas,Moderate Income,Poor Insulation,1970s,1960-2000,Cold,No,45.07,-93.35,2573.2404114354313,740.1404114354312,1833.1,1181.3694838642277,0.0,6.8612,5451.708047343678,5.857399999999999,4.76,63657.38100996804,66585.45407205872,252.30163873025225,MN,55429,Northern States Power Co - Minnesota,Centerpoint Energy|Northern States Pwr Co,252.30163873025225,126.15081936512613
173002,"MN, St Paul",Ramsey,0-1499,SF,75F,"Room AC, EER 12.0",Room AC,Medium Htg Eff,Natural Gas,Moderate Income,Poor Insulation,<1940,<1960,Cold,No,44.93,-93.05,1673.6041567318928,571.2841567318927,1102.32,720.3686904833223,0.0,1.3609,4190.916303462778,1.2064000000000001,2.23,30299.445660825364,37930.43018596969,252.30163873025225,MN,55107,Northern States Power Co - Minnesota,Northern States Pwr Co|Centerpoint Energy|Mn Energy Res Corp,252.30163873025225,84.10054624341741
173453,"MN, Maple Grove",Hennepin,0-1499,SF,72F,"AC, SEER 13",High Eff AC,High Htg Eff,Natural Gas,Moderate Income,Average Insulation,1950s,<1960,Cold,No,45.108813,-93.46237210754585,1476.8171769018072,771.7371769018071,705.08,1181.6625549344,0.0,3.5328000000000004,5687.630258832317,3.8466,1.66,19268.836721683267,22353.995877386253,252.30163873025225,MN,55369,Northern States Power Co - Minnesota,Centerpoint Energy|Northern States Pwr Co,252.30163873025225,126.15081936512613
173465,Not in a census Place,Scott,0-1499,SF,70F,"AC, SEER 13",High Eff AC,Medium Htg Eff,Natural Gas,High Income,Average Insulation,1990s,1960-2000,Cold,No,44.82,-93.45,1482.6770495256837,580.0370495256836,902.64,1236.7599161267776,0.0,1.9632,4256.271152111183,1.6557,0.53,25372.62790016014,30100.7434752486,252.30163873025225,MN,55347,Northern States Power Co - Minnesota,Northern States Pwr Co|Centerpoint Energy,252.30163873025225,126.15081936512613
173508,"MN, Minneapolis",Hennepin,1500-2499,SF,68F,"AC, SEER 15",High Eff AC,Medium Htg Eff,Natural Gas,High Income,Average Insulation,2010s,>2000,Cold,No,44.9707515,-93.26819344292213,1855.3594996285815,791.5194996285815,816.7,812.9791486577444,0.0,4.2634,5835.338078199117,4.291600000000001,0.69,26730.719239338217,26730.719239338217,252.30163873025225,MN,55404,Northern States Power Co - Minnesota,Centerpoint Energy|Northern States Pwr Co,252.30163873025225,126.15081936512613
173529,"MN, Eagan",Dakota,1500-2499,SF,70F,"AC, SEER 13",High Eff AC,Medium Htg Eff,Natural Gas,Low Income,Poor Insulation,<1940,<1960,Cold,No,44.85,-93.15,2354.1306031896734,843.8406031896733,1510.29,2099.268075643628,0.0,10.4474,6226.001814738689,9.6124,48.55,53051.43205150549,53927.71455132044,252.30163873025225,MN,55121,Northern States Power Co - Minnesota,Mn Energy Res Corp|Northern States Pwr Co|Centerpoint Energy,252.30163873025225,84.10054624341741
174329,"MN, Bloomington",Hennepin,0-1499,SF,70F,"AC, SEER 10",Low Eff AC,Medium Htg Eff,Natural Gas,Low Income,Poor Insulation,1960s,1960-2000,Cold,No,44.8239025,-93.31703752555529,1517.50103272892,732.2510327289201,785.25,589.0728510461666,0.0,33.975699999999996,5392.800762239061,34.4705,5.62,25497.476176053508,25497.476176053508,252.30163873025225,MN,55431,Northern States Power Co - Minnesota,Centerpoint Energy|Northern States Pwr Co,252.30163873025225,126.15081936512613
174426,"MN, Minneapolis",Hennepin,1500-2499,SF,68F,"AC, SEER 15",High Eff AC,Medium Htg Eff,Natural Gas,Moderate Income,Poor Insulation,<1940,<1960,Cold,No,44.9707515,-93.26819344292213,4250.419988837319,2415.2399888373184,1835.18,1659.0753282449498,0.0,18.4404,17959.102109083608,18.9348,4.77,66667.22090063676,66667.22090063676,252.30163873025225,MN,55404,Northern States Power Co - Minnesota,Centerpoint Energy|Northern States Pwr Co,252.30163873025225,126.15081936512613
