bldg_id,timestamp,electricity.total,electrictiy.heating,electricity.secondary_heating,electricity.cooling,natural_gas.total,natural_gas.heating
8078,2025-01-01T00:15:00.000000000,0.818,0.304,0.421,0.0,0.0,0.0
8078,2025-01-01T00:30:00.000000000,0.897,0.304,0.501,0.0,0.0,0.0
8078,2025-01-01T00:45:00.000000000,0.975,0.303,0.58,0.0,0.0,0.0
8078,2025-01-01T01:00:00.000000000,1.056,0.302,0.663,0.0,0.0,0.0
8078,2025-01-01T01:15:00.000000000,1.09,0.301,0.698,0.0,0.0,0.0
8078,2025-01-01T01:30:00.000000000,1.124,0.301,0.732,0.0,0.0,0.0
8078,2025-01-01T01:45:00.000000000,1.158,0.3,0.766,0.0,0.0,0.0
8078,2025-01-01T02:00:00.000000000,1.191,0.3,0.8,0.0,0.0,0.0
8078,2025-01-01T02:15:00.000000000,1.193,0.301,0.802,0.0,0.0,0.0
8078,2025-01-01T02:30:00.000000000,1.195,0.302,0.802,0.0,0.0,0.0
8078,2025-01-01T02:45:00.000000000,1.195,0.303,0.801,0.0,0.0,0.0
8078,2025-01-01T03:00:00.000000000,1.194,0.304,0.799,0.0,0.0,0.0
8078,2025-01-01T03:15:00.000000000,1.225,0.303,0.831,0.0,0.0,0.0
8078,2025-01-01T03:30:00.000000000,1.255,0.302,0.862,0.0,0.0,0.0
8078,2025-01-01T03:45:00.000000000,1.284,0.301,0.892,0.0,0.0,0.0
8078,2025-01-01T04:00:00.000000000,1.312,0.3,0.922,0.0,0.0,0.0
8078,2025-01-01T04:15:00.000000000,1.294,0.301,0.902,0.0,0.0,0.0
8078,2025-01-01T04:30:00.000000000,1.276,0.303,0.883,0.0,0.0,0.0
8078,2025-01-01T04:45:00.000000000,1.257,0.304,0.863,0.0,0.0,0.0
8078,2025-01-01T05:00:00.000000000,1.253,0.305,0.857,0.0,0.0,0.0
8078,2025-01-01T05:15:00.000000000,1.257,0.305,0.851,0.0,0.0,0.0
8078,2025-01-01T05:30:00.000000000,1.256,0.305,0.849,0.0,0.0,0.0
8078,2025-01-01T05:45:00.000000000,1.258,0.305,0.852,0.0,0.0,0.0
8078,2025-01-01T06:00:00.000000000,1.267,0.305,0.872,0.0,0.0,0.0
