State,Utility,ResStock,Reported,weight Adjustment Factor,Only census?,Mismatch?
WV,Appalachian Power Co,5410808.5,4451267.0,0.82,Y+N,Nope
PA,Pennsylvania Electric Co,4368456.0,4134922.0,0.95,Y+½N,Nope
IN,Indiana Michigan Power Co,3842042.0,4070840.0,1.06,Y+½N,Nope
AZ,Tucson Electric Power Co,3965532.5,3967416.0,1.0,Y,Nope
NJ,Atlantic City Electric Co,4228671.0,3941723.0,0.93,Y+½N,Nope
KY,Louisville Gas & Electric Co,3574761.2,3923114.0,1.1,Y,Nope
ME,Central Maine Power Co,3853137.8,3849551.0,1.0,Y+N,Nope
PA,Duquesne Light Co,3405289.5,3764223.0,1.11,Y+½N,Nope
MO,Evergy Missouri West,3277677.2,3609581.0,1.1,Y+N,Nope
IA,Interstate Power and Light Co,3415733.5,3586061.0,1.05,Y+½N,Nope
WV,Monongahela Power Co,4332240.0,3446643.0,0.8,Y+N,Nope
NM,Public Service Co of NM,3342465.0,3390662.0,1.01,Y+½N,Nope
NH,Public Service Co of NH,3974429.0,3271923.0,0.82,Y+N,Nope
IN,Northern Indiana Pub Serv Co,2888742.2,3262923.0,1.13,Y+½N,Nope
MD,The Potomac Edison Company,3298314.8,3204288.0,0.97,Y+N,Nope
DE,Delmarva Power,2864622.8,3026597.0,1.06,Y+N,Nope
WI,Wisconsin Public Service Corp,2442828.8,2952094.0,1.21,Y+½N,Nope
RI,The Narragansett Electric Co,3095608.5,2909036.0,0.94,Y+N,Nope
LA,Southwestern Electric Power Co,2966894.2,2875733.0,0.97,Y+N,Nope
KS,Evergy Metro,2930906.8,2857073.0,0.97,Y+½N,Nope
NY,Rochester Gas & Electric Corp,2641042.2,2799309.0,1.06,Y+½N,Nope
MT,NorthWestern Energy LLC - (MT),2881515.2,2793132.0,0.97,Y+½N,Nope
WA,Avista Corp,2495818.5,2664362.0,1.07,Y+½N,Nope
TX,El Paso Electric Co,2708158.0,2657537.0,0.98,Y,Nope
NV,Sierra Pacific Power Co,2453124.5,2655054.0,1.08,Y+½N,Nope
OH,The Toledo Edison Co,2512723.8,2408467.0,0.96,Y+N,Nope
LA,"Entergy New Orleans, LLC",2245130.8,2405914.0,1.07,Y,Nope
TX,Southwestern Electric Power Co,2450998.0,2129999.0,0.87,Y+N,Nope
MS,Mississippi Power Co,1948968.9,2092079.0,1.07,Y+N,Nope
CT,United Illuminating Co,2342440.5,2041843.0,0.87,Y+½N,Nope
MD,Delmarva Power,2639864.0,2040164.0,0.77,Y+N,Nope
SC,Duke Energy Progress - (NC),2121953.5,1933986.0,0.91,Y+N,Nope
WI,Northern States Power Co,1637296.5,1892820.0,1.16,Y+½N,Nope
WV,The Potomac Edison Company,1847259.0,1857742.0,1.01,Y+N,Nope
KY,Kentucky Power Co,2416344.5,1755606.0,0.73,Y+N,Nope
MO,Empire District Electric Co,1753958.0,1692774.0,0.97,Y+½N,Nope
WA,PacifiCorp,1745940.0,1618257.0,0.93,Y+N,Nope
VT,Green Mountain Power Corp,1857478.5,1556800.0,0.84,Y+N,Nope
KY,Duke Energy Kentucky,1488672.8,1408351.0,0.95,Y+½N,Nope
ID,Avista Corp,1673262.9,1355765.0,0.81,Y+N,Nope
IN,Southern Indiana Gas & Elec Co,1247401.1,1335877.0,1.07,Y+½N,Nope
NM,Southwestern Public Service Co,936623.06,1203792.0,1.29,Y+N,Nope
AR,Southwestern Electric Power Co,1179757.2,1132224.0,0.96,Y+½N,Nope
MI,Indiana Michigan Power Co,1076446.0,1104472.0,1.03,Y+N,Nope
WY,PacifiCorp,1408146.4,1046604.0,0.74,Y+N,Nope
AZ,"UNS Electric, Inc",1105525.0,1009273.0,0.91,Y+½N,Nope
MN,"Minnesota Power Enterprises, Inc.",995405.56,1004064.0,1.01,Y+½N,Nope
ME,Versant Power,1091408.6,871639.0,0.8,Y+N,Nope
WI,Madison Gas & Electric Co,1210593.4,871558.0,0.72,Y,Nope
NM,El Paso Electric Co,792696.9,837772.0,1.06,Y+½N,Nope
ID,PacifiCorp,849228.4,817961.0,0.96,Y+N,Nope
AR,Oklahoma Gas & Electric Co,729863.06,711725.0,0.98,Y+½N,Nope
IL,MidAmerican Energy Co,692331.5,630884.0,0.91,Y+N,Nope
SD,NorthWestern Energy - (SD),725660.25,602945.0,0.83,Y+N,Nope
CO,"Black Hills Colorado Electric, LLC",567363.4,602501.0,1.06,Y+½N,Nope
NH,Unitil Energy Systems,531550.56,483973.0,0.91,Y+N,Nope
CA,PacifiCorp,318274.03,386710.0,1.22,Y+N,Nope
WV,Wheeling Power Co,478463.62,360996.0,0.75,Y+N,Nope
VA,Kentucky Utilities Co,340296.62,312763.0,0.92,Y+N,Nope
CA,Liberty Utilities,298759.2,308222.0,1.03,Y,Nope
FL,Florida Public Utilities Co,357007.7,300117.0,0.84,Y+N,Nope
NH,Liberty Utilities (Granite State Electri,351929.53,293038.0,0.83,Y+N,Nope
WY,Cheyenne Light Fuel & Power,253668.48,268961.0,1.06,Y,Nope
MI,Upper Peninsula Power Company,257405.98,249255.0,0.97,Y+½N,Nope
KS,Empire District Electric Co,142850.27,104321.0,0.73,Y+N,Nope
MI,Alpena Power Co,90132.2,86730.0,0.96,Y+N,Nope
MI,Northern States Power Co,42533.613,55085.0,1.3,Y+½N,Nope
IL,Mt Carmel Public Utility Co,57518.76,44729.0,0.78,Y+N,Nope
