State,Utility,ResStock,Reported,weight Adjustment Factor,Only census?,Mismatch?
MN,Northern States Power Co - Minnesota,9549990.0,9056420.0,0.95,Y+½N,Nope
MN,Northwestern Wisconsin Elec Co,0.0,494.0,0.0,Y,Mismatch too big
MS,Mississippi Power Co,1948968.9,2092079.0,1.07,Y+N,Nope
MS,Entergy Mississippi LLC,5631163.0,5493694.0,0.98,Y+N,Nope
MO,Union Electric Co - (MO),16603008.0,12803699.0,0.77,Y+N,Nope
MO,Empire District Electric Co,1753958.0,1692774.0,0.97,Y+½N,Nope
MO,Evergy Metro,1768421.1,2645456.0,1.5,Y+N,Mismatch too big
MO,Evergy Missouri West,3277677.2,3609581.0,1.1,Y+N,Nope
MT,NorthWestern Energy LLC - (MT),2881515.2,2793132.0,0.97,Y+½N,Nope
MT,Montana-Dakota Utilities Co,0.0,184041.0,0.0,Y,Mismatch too big
MT,"Black Hills Power, Inc.",2413.1074,156.0,0.06,Y+½N,Mismatch too big
MT,Avista Corp,0.0,203.0,0.0,Y,Mismatch too big
NV,Nevada Power Co,9779185.0,9583914.0,0.98,Y+½N,Nope
NV,Sierra Pacific Power Co,2453124.5,2655054.0,1.08,Y+½N,Nope
NH,Liberty Utilities (Granite State Electri,351929.53,293038.0,0.83,Y+N,Nope
NH,Unitil Energy Systems,531550.56,483973.0,0.91,Y+N,Nope
NH,Public Service Co of NH,3974429.0,3271923.0,0.82,Y+N,Nope
NJ,Atlantic City Electric Co,4228671.0,3941723.0,0.93,Y+½N,Nope
NJ,Rockland Electric Co,0.0,684548.0,0.0,Y,Mismatch too big
NJ,Jersey Central Power & Lt Co,9736507.0,9299901.0,0.96,Y+N,Nope
NJ,Public Service Elec & Gas Co,14610496.0,13076477.0,0.9,Y+N,Nope
NM,El Paso Electric Co,792696.9,837772.0,1.06,Y+½N,Nope
NM,Public Service Co of NM,3342465.0,3390662.0,1.01,Y+½N,Nope
NM,Southwestern Public Service Co,936623.06,1203792.0,1.29,Y+N,Nope
NY,New York State Elec & Gas Corp,8628696.0,6797432.0,0.79,Y+N,Nope
NY,Rochester Gas & Electric Corp,2641042.2,2799309.0,1.06,Y+½N,Nope
NY,Orange & Rockland Utils Inc,906770.0,1606799.0,1.77,Y+N,Mismatch too big
NY,Pennsylvania Electric Co,0.0,30496.0,0.0,Y,Mismatch too big
NY,Niagara Mohawk Power Corp.,12362337.0,11718877.0,0.95,Y+N,Nope
NY,Central Hudson Gas & Elec Corp,3066368.8,2095953.0,0.68,Y+N,Mismatch too big
NY,Consolidated Edison Co-NY Inc,23001980.0,13614674.0,0.59,Y,Mismatch too big
NY,Fishers Island Utility Co Inc,0.0,4499.0,0.0,Y,Mismatch too big
NC,Virginia Electric & Power Co,959974.75,1508594.0,1.57,Y+N,Mismatch too big
NC,Duke Energy Progress - (NC),15996534.0,15616376.0,0.98,Y+½N,Nope
NC,"Duke Energy Carolinas, LLC",25312388.0,21363532.0,0.84,Y+N,Nope
ND,Montana-Dakota Utilities Co,0.0,782159.0,0.0,Y,Mismatch too big
ND,Northern States Power Co - Minnesota,1802196.6,768332.0,0.43,Y,Mismatch too big
ND,Otter Tail Power Co,454090.47,598648.0,1.32,Y+N,Mismatch too big
OH,Ohio Power Co,9548487.0,13439442.0,1.41,Y+N,Mismatch too big
OH,Cleveland Electric Illum Co,0.0,5129345.0,0.0,Y,Mismatch too big
OH,Dayton Power & Light Co,4242864.5,5002095.0,1.18,Y+½N,Nope
OH,The Toledo Edison Co,2512723.8,2408467.0,0.96,Y+N,Nope
OH,Duke Energy Ohio Inc,6043448.5,7158095.0,1.18,Y+½N,Nope
OH,Ohio Edison Co,9940216.0,8887123.0,0.89,Y+N,Nope
OK,Public Service Co of Oklahoma,6814372.0,6070994.0,0.89,Y+N,Nope
OK,Empire District Electric Co,160155.28,49568.0,0.31,Y+½N,Mismatch too big
OK,Oklahoma Gas & Electric Co,9803861.0,8892773.0,0.91,Y+½N,Nope
OR,PacifiCorp,6303077.0,6007121.0,0.95,Y+½N,Nope
OR,Idaho Power Co,0.0,190708.0,0.0,Y,Mismatch too big
OR,Portland General Electric Co,5803191.0,7952312.0,1.37,Y+N,Mismatch too big
PA,Pennsylvania Power Co,1114794.5,1558620.0,1.4,Y+N,Mismatch too big
PA,Wellsborough Electric Co,0.0,41738.0,0.0,Y,Mismatch too big
PA,Pennsylvania Electric Co,4368456.0,4134922.0,0.95,Y+½N,Nope
PA,Duquesne Light Co,3405289.5,3764223.0,1.11,Y+½N,Nope
