Area,Company,Item,2020,2021,2022,2023
New York,CONSOLIDATED EDISON NEW YORK INC,Vehicle Fuel Volume,13304,12473,9541,3878
Massachusetts,CONSTELLATION LNG LLC,Residential Volume,3361664,4917031,3942506,780528
Massachusetts,CONSTELLATION LNG LLC,Commercial Volume,42635,7284,,
Massachusetts,CONSTELLATION LNG LLC,Electric Power Volume,17744911,8867719,11922907,9637407
Michigan,CONSUMERS ENERGY COMPANY,Residential Volume,152845033,146567226,163267582,141491305
Michigan,CONSUMERS ENERGY COMPANY,Commercial Volume,75117646,76429069,84478905,76812627
Michigan,CONSUMERS ENERGY COMPANY,Industrial Volume,53514868,56747514,64520820,62328845
Michigan,CONSUMERS ENERGY COMPANY,Electric Power Volume,76379725,64886434,75259850,91551288
Illinois,CONSUMERS GAS CO,Residential Volume,307663,306837,332161,264503
Illinois,CONSUMERS GAS CO,Commercial Volume,125337,134035,146150,123173
Illinois,CONSUMERS GAS CO,Industrial Volume,145728,175921,202042,175063
Texas,CONSUMERS GAS COMPANY INC,Residential Volume,14284,,,
Texas,CONSUMERS GAS COMPANY INC,Commercial Volume,9790,,,
Ohio,CONSUMERS GAS COOP,Residential Volume,617767,693460,732390,729451
Ohio,CONSUMERS GAS COOP,Commercial Volume,423252,455740,448570,479896
Ohio,CONSUMERS GAS COOP,Industrial Volume,420386,418288,529557,687760
West Virginia,CONSUMERS GAS UTIL CO,Residential Volume,428517,461084,493101,421188
West Virginia,CONSUMERS GAS UTIL CO,Commercial Volume,166791,187140,220187,174803
West Virginia,CONSUMERS GAS UTIL CO,Industrial Volume,8281,14127,10378,12714
Tennessee,COOKEVILLE GAS DEPARTMENT,Residential Volume,338852,397374,380933,339703
Tennessee,COOKEVILLE GAS DEPARTMENT,Commercial Volume,502739,580571,577000,522835
Tennessee,COOKEVILLE GAS DEPARTMENT,Industrial Volume,433428,540727,526784,504478
Iowa,COON RAPIDS MUN UTIL,Residential Volume,37662,35358,43248,35250
Iowa,COON RAPIDS MUN UTIL,Commercial Volume,18375,17633,21119,17212
Iowa,COON RAPIDS MUN UTIL,Industrial Volume,19281,12779,17372,16865
Alabama,COOP DIST FOR NE AL GAS,Industrial Volume,1917351,1765525,1564901,1474953
Texas,COPANO P L UPPER GULF COAST,Commercial Volume,27908,36766,814621,1307003
Georgia,CORDELE NATURAL GAS SYSTEM CITY OF,Residential Volume,16350,19243,16764,14951
Georgia,CORDELE NATURAL GAS SYSTEM CITY OF,Commercial Volume,58215,79882,78844,74718
Georgia,CORDELE NATURAL GAS SYSTEM CITY OF,Industrial Volume,289571,344104,372850,312803
Georgia,CORDELE NATURAL GAS SYSTEM CITY OF,Electric Power Volume,,,,11701
Alabama,CORDOVA WTR WKS AND GAS BD,Residential Volume,6157,6848,6886,5197
Alabama,CORDOVA WTR WKS AND GAS BD,Commercial Volume,3819,3885,3976,4081
Alabama,CORDOVA WTR WKS AND GAS BD,Industrial Volume,113831,112821,121019,132120
Mississippi,CORINTH CITY OF GAS AND WATER,Residential Volume,260183,332661,302588,279936
Mississippi,CORINTH CITY OF GAS AND WATER,Commercial Volume,187549,235728,204007,189868
Mississippi,CORINTH CITY OF GAS AND WATER,Industrial Volume,307355,293646,277701,233751
Texas,CORIX UTILITIES INC,Residential Volume,7017,7031,6594,5963
Texas,CORIX UTILITIES INC,Commercial Volume,2759,3010,2943,2675
Oklahoma,CORN TOWN OF,Residential Volume,7986,7733,9789,7135
Oklahoma,CORN TOWN OF,Commercial Volume,4216,4497,4538,4084
Iowa,CORNING MUNICIPAL UTILITIES,Residential Volume,44310,41468,50270,40312
Iowa,CORNING MUNICIPAL UTILITIES,Commercial Volume,60964,54881,71545,62381
Iowa,CORNING MUNICIPAL UTILITIES,Industrial Volume,1885379,2171624,2006180,2042925
New York,CORNING NAT GAS CORP,Residential Volume,1305614,1287267,1322593,1210534
New York,CORNING NAT GAS CORP,Commercial Volume,390326,387805,408321,375140
New York,CORNING NAT GAS CORP,Industrial Volume,3733345,4050468,4014482,3479662
New Mexico,CORONA VILLAGE OF,Residential Volume,5292,5226,4839,4888
New Mexico,CORONA VILLAGE OF,Commercial Volume,4046,4320,4297,2483
Texas,CORPUS CHRISTI GAS DIV,Residential Volume,1113370,1084868,1130926,986015
Texas,CORPUS CHRISTI GAS DIV,Commercial Volume,2026311,2266769,2444242,2088018
Texas,CORPUS CHRISTI GAS DIV,Electric Power Volume,16862,36386,29377,33463
Texas,CORPUS CHRISTI GAS DIV,Vehicle Fuel Volume,54959,45432,34738,30243
Texas,COSERV GAS LTD,Residential Volume,8781606,9757380,9587712,9343825
Texas,COSERV GAS LTD,Commercial Volume,1499787,1677394,1769815,1829241
Texas,COTULLA CITY OF,Residential Volume,,5978,4684,4820
Texas,COTULLA CITY OF,Commercial Volume,,17652,25251,31110
Tennessee,COUNCE GAS CORP,Residential Volume,3510,3802,3657,3497
Tennessee,COUNCE GAS CORP,Commercial Volume,3099,3218,3352,3298
Tennessee,COUNCE GAS CORP,Industrial Volume,3574,7014,7987,6750
Maryland,COVE POINT LNG LP,Electric Power Volume,25412098,27749283,25417287,28356710
Virginia,COVE POINT LNG LP,Electric Power Volume,24981549,15730614,12091496,12917201
Tennessee,COVINGTON CITY OF,Residential Volume,149737,167565,163031,141014
Tennessee,COVINGTON CITY OF,Commercial Volume,154419,168395,164783,144568
Tennessee,COVINGTON CITY OF,Industrial Volume,222731,267197,264643,269241
Georgia,COVINGTON NAT GAS SYS,Residential Volume,365245,375661,397747,358544
Georgia,COVINGTON NAT GAS SYS,Commercial Volume,529146,546739,597048,538002
Georgia,COVINGTON NAT GAS SYS,Industrial Volume,1233608,1234870,1260832,1182292
Oklahoma,COVINGTON TOWN OF,Residential Volume,10520,11877,9987,9810
Oklahoma,COVINGTON TOWN OF,Commercial Volume,3034,2724,3356,3194
California,CPN PIPELINE COMPANY,Electric Power Volume,1972585,1770488,1670326,1545711
Florida,CRESCENT CITY NAT GAS,Residential Volume,13730,14884,15018,12994
Florida,CRESCENT CITY NAT GAS,Commercial Volume,9806,11536,11943,10199
Tennessee,CROCKETT PUBLIC UTILITY DIST,Residential Volume,49912,58196,57054,56139
Tennessee,CROCKETT PUBLIC UTILITY DIST,Commercial Volume,14512,11897,17754,15067
Tennessee,CROCKETT PUBLIC UTILITY DIST,Industrial Volume,,12654,12976,10926
South Dakota,CROOKS MUNICIPAL GAS,Residential Volume,49656,45850,59208,48509
South Dakota,CROOKS MUNICIPAL GAS,Commercial Volume,24182,17943,25610,30459
Alabama,CULLMAN JEFFERSON GAS,Residential Volume,361713,479225,440847,400122
Alabama,CULLMAN JEFFERSON GAS,Commercial Volume,417157,541375,509861,429068
Alabama,CULLMAN JEFFERSON GAS,Industrial Volume,2425778,2167845,1856985,2053471
Alabama,CULLMAN JEFFERSON GAS,Vehicle Fuel Volume,531,270,182,156
Texas,CUSHING CITY OF,Residential Volume,7004,7799,7283,6743
Texas,CUSHING CITY OF,Commercial Volume,1694,2248,1868,1486
Montana,CUT BANK GAS CO,Residential Volume,108483,106181,111476,93651
Montana,CUT BANK GAS CO,Commercial Volume,90016,87486,94937,83905
Georgia,CUTHBERT NATURAL GAS SYSTEM CITY OF,Residential Volume,10980,16789,30259,14870
Georgia,CUTHBERT NATURAL GAS SYSTEM CITY OF,Commercial Volume,34631,36245,15815,28123
Georgia,CUTHBERT NATURAL GAS SYSTEM CITY OF,Industrial Volume,1632045,1534402,1632024,1259640
Texas,D & H GAS CO,Residential Volume,1930,2792,2012,1754
Texas,D & H GAS CO,Commercial Volume,5620,2261,4772,5919
Alabama,DADEVILLE GAS BOARD,Residential Volume,14961,17018,17537,15353
Alabama,DADEVILLE GAS BOARD,Commercial Volume,17493,18640,17658,17052
Illinois,DAHLGREN GAS SYSTEM,Residential Volume,13205,13536,13845,12185
Illinois,DAHLGREN GAS SYSTEM,Commercial Volume,4881,4748,4050,4327
Texas,DAISETTA CITY OF,Residential Volume,1662,1920,2013,1389
Texas,DAISETTA CITY OF,Commercial Volume,298,383,591,635
Nebraska,DAKOTA CITY RENEWABLE ENERGY LLC,Commercial Volume,,,,120311
North Dakota,DAKOTA GASIFICATION CO,Industrial Volume,11411458,10667342,11099045,10138441
North Dakota,DAKOTA GASIFICATION CO,Electric Power Volume,478183,425044,464930,393199
North Dakota,DAKOTA NATURAL GAS LLC,Residential Volume,1865,17230,55722,63708
North Dakota,DAKOTA NATURAL GAS LLC,Commercial Volume,1468,15343,60543,77969
North Dakota,DAKOTA NATURAL GAS LLC,Industrial Volume,,214027,318610,354205
Georgia,DALTON UTILITIES,Residential Volume,210783,237302,217105,194169
Georgia,DALTON UTILITIES,Commercial Volume,1015324,1149176,1142747,1094054
Georgia,DALTON UTILITIES,Industrial Volume,5131582,5575917,4664482,4284370
Virginia,DANVILLE CITY OF,Residential Volume,688090,794462,745672,706870
Virginia,DANVILLE CITY OF,Commercial Volume,494390,549416,536977,537834
Virginia,DANVILLE CITY OF,Industrial Volume,1637486,2109287,2103437,1916792
Alabama,DAPHNE UTILS BD CITY OF,Residential Volume,83490,97742,,
Alabama,DAPHNE UTILS BD CITY OF,Commercial Volume,105065,116539,,
Georgia,DAWSON CITY OF,Residential Volume,14828,14564,12285,15101
Georgia,DAWSON CITY OF,Commercial Volume,9715,9986,10194,8821
Georgia,DAWSON CITY OF,Industrial Volume,279608,271154,255321,265154
Texas,DCP OPERATING COMPANY LP,Commercial Volume,71189,0,,
Texas,DCP OPERATING COMPANY LP,Industrial Volume,17880587,16412822,18026899,30088261
Texas,DCP OPERATING COMPANY LP,Electric Power Volume,53173703,30603401,19112908,16340548
Georgia,DECATUR COUNTY INDUSTRIAL PARK,Industrial Volume,89295,99356,93484,89319
Alabama,DECATUR UTIL GAS DEPT,Residential Volume,378515,453146,430538,375302
Alabama,DECATUR UTIL GAS DEPT,Commercial Volume,424344,501565,488480,432478
Alabama,DECATUR UTIL GAS DEPT,Industrial Volume,4803509,5142544,5633007,5357207
Florida,DEFUNIAK SPRINGS CITY OF,Residential Volume,9731,9162,9913,9029
Florida,DEFUNIAK SPRINGS CITY OF,Commercial Volume,104428,135263,142109,170368
Alabama,DEKALB CHEROKEE COUNTIES,Residential Volume,225477,248386,258684,235188
Alabama,DEKALB CHEROKEE COUNTIES,Commercial Volume,376800,407913,410288,386475
Alabama,DEKALB CHEROKEE COUNTIES,Industrial Volume,761963,835447,874835,820401
Texas,DEL RIO GAS CITY OF,Residential Volume,69502,68761,98009,61140
Texas,DEL RIO GAS CITY OF,Commercial Volume,100058,104411,107122,105226
Louisiana,DELCAMBRE TOWN OF,Residential Volume,6227,6696,12652,6690
Louisiana,DELCAMBRE TOWN OF,Commercial Volume,1992,2697,2277,2222
Delaware,DELMARVA POWER AND LIGHT CO,Residential Volume,7665253,8233320,8475843,7556674
Delaware,DELMARVA POWER AND LIGHT CO,Commercial Volume,7871790,8183265,8468268,7880682
Delaware,DELMARVA POWER AND LIGHT CO,Industrial Volume,2654530,2733901,2561456,2067511
Delaware,DELMARVA POWER AND LIGHT CO,Electric Power Volume,17482836,15085295,21570616,20515989
Kentucky,DELTA NATURAL GAS COMPANY,Residential Volume,1522109,1569285,1673815,1552081
Kentucky,DELTA NATURAL GAS COMPANY,Commercial Volume,1259598,1406500,1492471,1282544
Kentucky,DELTA NATURAL GAS COMPANY,Industrial Volume,4896516,5455324,5446170,5557450
New Mexico,DEMING GAS SYS,Residential Volume,214824,209493,206445,206651
New Mexico,DEMING GAS SYS,Commercial Volume,271885,286759,325095,312535
New Mexico,DEMING GAS SYS,Vehicle Fuel Volume,3402,6018,30073,8443
Louisiana,DENHAM SPRINGS CITY OF,Residential Volume,217974,195279,163290,154081
Louisiana,DENHAM SPRINGS CITY OF,Commercial Volume,,77614,77390,74988
Kansas,DENISON CITY OF,Residential Volume,8982,8929,8186,8820
Kansas,DENISON CITY OF,Commercial Volume,552,558,473,669
Texas,DENVER CITY GAS SYSTEM,Residential Volume,54494,52487,49823,49378
Texas,DENVER CITY GAS SYSTEM,Commercial Volume,51051,52909,57547,47539
Louisiana,DEQUINCY GAS CO,Residential Volume,41725,39900,36332,31640
Louisiana,DEQUINCY GAS CO,Commercial Volume,22027,23316,24007,25263
Arkansas,DES ARC GAS COMPANY,Residential Volume,18860,,,
Arkansas,DES ARC GAS COMPANY,Commercial Volume,10115,,,
Arkansas,DES ARC GAS COMPANY,Industrial Volume,16491,,,
Ohio,DESHLER MUNICIPAL UTILITIES,Residential Volume,44132,44750,47299,43751
Ohio,DESHLER MUNICIPAL UTILITIES,Commercial Volume,23603,22108,20185,16333
Ohio,DESHLER MUNICIPAL UTILITIES,Industrial Volume,7725,6188,5858,4959
Mississippi,DESTIN PIPELINE COMPANY L L C,Industrial Volume,18811085,20094748,18528235,18578256
Arkansas,DEVALLS BLUFF NAT GAS SYS,Residential Volume,4336,,4255,3531
Arkansas,DEVALLS BLUFF NAT GAS SYS,Commercial Volume,1484,,1342,1212
Texas,DILLEY CITY OF,Residential Volume,4713,3123,3071,
Texas,DILLEY CITY OF,Commercial Volume,10997,7519,12563,
Illinois,DIVERNON VILLAGE OF,Residential Volume,53136,49868,54938,44667
Illinois,DIVERNON VILLAGE OF,Commercial Volume,5684,7271,7214,6015
Illinois,DIVERNON VILLAGE OF,Industrial Volume,20079,14404,21505,23292
West Virginia,DIVERSIFIED GAS & OIL CRANBERRY,Industrial Volume,4034874,4396575,4906511,4270575
West Virginia,DIVERSIFIED GAS & OIL EXCO,Industrial Volume,1569270,1203869,1242923,914831
Georgia,DOERUN CITY OF,Residential Volume,3143,11563,11266,10820
Georgia,DOERUN CITY OF,Commercial Volume,135,256,2224,5972
Georgia,DOERUN CITY OF,Industrial Volume,42203,42642,48263,18992
South Carolina,DOMINION CAROLINA GAS TRANSMISSION,Commercial Volume,45375,48511,46226,42484
South Carolina,DOMINION CAROLINA GAS TRANSMISSION,Industrial Volume,36617042,38236283,38169056,35970394
South Carolina,DOMINION CAROLINA GAS TRANSMISSION,Electric Power Volume,59836127,55158364,58286347,56885063
South Carolina,DOMINION ENERGY SOUTH CAROLINA INC,Residential Volume,12473770,14399502,14879252,13269458
South Carolina,DOMINION ENERGY SOUTH CAROLINA INC,Commercial Volume,13664805,14773480,14924767,14504038
South Carolina,DOMINION ENERGY SOUTH CAROLINA INC,Industrial Volume,21859999,22706242,20915379,19950811
South Carolina,DOMINION ENERGY SOUTH CAROLINA INC,Electric Power Volume,15549478,17886438,15887060,16346692
Louisiana,DONALDSONVILLE CITY OF,Residential Volume,45502,56423,50604,39789
Louisiana,DONALDSONVILLE CITY OF,Commercial Volume,18022,20246,24639,21054
Louisiana,DONALDSONVILLE CITY OF,Industrial Volume,3876,5097,6278,5055
Georgia,DONALSONVILLE CITY OF,Residential Volume,10885,10789,10308,10195
Georgia,DONALSONVILLE CITY OF,Industrial Volume,50120,63401,67302,67574
Iowa,DOOLEY'S NATURAL GAS OF IA,Commercial Volume,208,521,615,301
Iowa,DOOLEY'S NATURAL GAS OF IA,Industrial Volume,18443,76198,26173,26670
Minnesota,DOOLEYS NATURAL GAS,Residential Volume,96094,95707,117927,99895
Minnesota,DOOLEYS NATURAL GAS,Commercial Volume,56676,55970,69922,59733
Minnesota,DOOLEYS NATURAL GAS,Industrial Volume,730207,715867,821689,782980
Alabama,DORA GAS BD,Residential Volume,,,16119,15194
Alabama,DORA GAS BD,Commercial Volume,,,4735,4225
Georgia,DOUGLAS GAS SYS,Residential Volume,14675,16195,15127,12774
Georgia,DOUGLAS GAS SYS,Commercial Volume,61928,68417,73196,68022
Georgia,DOUGLAS GAS SYS,Industrial Volume,626350,695714,702059,689626
Louisiana,DOW INTERSTATE GAS CO,Industrial Volume,28721847,29990038,27774002,24757219
Texas,DOW PIPELINE COMPANY,Industrial Volume,106413111,106517101,103693035,98200903
Kentucky,DRAKESBORO NAT GAS,Residential Volume,31786,33656,43750,
Kentucky,DRAKESBORO NAT GAS,Commercial Volume,4944,4717,6537,
Oklahoma,DRUMRIGHT GAS AUTHORITY,Residential Volume,45464,47767,46389,40545
Oklahoma,DRUMRIGHT GAS AUTHORITY,Commercial Volume,28613,29821,26132,25972
Oklahoma,DRUMRIGHT GAS AUTHORITY,Industrial Volume,1149,1135,969,1177
Michigan,DTE GAS COMPANY,Residential Volume,110106120,108792722,120126485,104518213
Michigan,DTE GAS COMPANY,Commercial Volume,63919035,64061645,69652943,63775018
Michigan,DTE GAS COMPANY,Industrial Volume,56998322,60574346,63180634,62314500
Michigan,DTE GAS COMPANY,Electric Power Volume,70773758,55246100,56651266,68764672
Georgia,DUBLIN CITY OF,Residential Volume,52451,63218,54430,54420
Georgia,DUBLIN CITY OF,Commercial Volume,124220,153259,126412,129740
Georgia,DUBLIN CITY OF,Industrial Volume,2431807,2430406,3036867,2112243
Mississippi,DUCK HILL NAT GAS SYS,Residential Volume,25139,27492,29844,20022
Mississippi,DUCK HILL NAT GAS SYS,Commercial Volume,2345,1913,1480,921
Mississippi,DUCK HILL NAT GAS SYS,Industrial Volume,11744,10780,9816,12377
Kentucky,DUKE ENERGY KENTUCKY,Residential Volume,5665820,5697733,6223315,5187460
Kentucky,DUKE ENERGY KENTUCKY,Commercial Volume,4342001,4601519,4640679,4124195
Kentucky,DUKE ENERGY KENTUCKY,Industrial Volume,2909230,2983844,3248023,3053195
Ohio,DUKE ENERGY OHIO,Residential Volume,28042363,28001155,32097044,27965448
Ohio,DUKE ENERGY OHIO,Commercial Volume,23118878,24925160,24611049,21208744
Ohio,DUKE ENERGY OHIO,Industrial Volume,19004487,18909870,18774137,18618790
Ohio,DUKE ENERGY OHIO,Electric Power Volume,1077384,698654,386373,44388
Minnesota,DULUTH CITY OF,Residential Volume,2764579,2690952,3065303,2799777
Minnesota,DULUTH CITY OF,Commercial Volume,2607270,2622674,2920487,2794992
Minnesota,DULUTH CITY OF,Industrial Volume,354102,364401,489719,1020460
Texas,DUMAS CITY OF,Residential Volume,264511,282113,327130,281192
Texas,DUMAS CITY OF,Commercial Volume,173000,162750,162867,154633
Tennessee,DUNLAP NAT GAS SYS,Residential Volume,56466,68909,66194,60047
Tennessee,DUNLAP NAT GAS SYS,Commercial Volume,44942,53941,53401,49147
Tennessee,DUNLAP NAT GAS SYS,Industrial Volume,17740,18677,18467,15703
Illinois,DUPO VILLAGE OF,Residential Volume,61894,64897,65678,62575
Illinois,DUPO VILLAGE OF,Commercial Volume,29713,30817,33006,29437
Illinois,DUPO VILLAGE OF,Industrial Volume,8949,9975,10492,8067
Tennessee,DYERSBURG GAS SYSTEM,Residential Volume,330691,359794,351161,307970
Tennessee,DYERSBURG GAS SYSTEM,Commercial Volume,212058,230259,252552,237674
Tennessee,DYERSBURG GAS SYSTEM,Industrial Volume,414472,421467,412927,390307
Minnesota,EAGLE BENDCLARISSA GAS UTIL,Residential Volume,41292,39058,45462,41008
Minnesota,EAGLE BENDCLARISSA GAS UTIL,Commercial Volume,78644,76756,89392,83253
Louisiana,EAST BATON ROUGE PARISH GUD 1,Residential Volume,118752,141340,128552,117772
Louisiana,EAST BATON ROUGE PARISH GUD 1,Commercial Volume,9443,11120,10121,9603
Alabama,EAST CENTRAL ALABAMA GAS DISTRICT,Residential Volume,94815,107522,101408,93404
Alabama,EAST CENTRAL ALABAMA GAS DISTRICT,Commercial Volume,114581,126382,129946,115014
Alabama,EAST CENTRAL ALABAMA GAS DISTRICT,Industrial Volume,153367,148643,176471,184784
Oklahoma,EAST CENTRAL OKLAHOMA GAS AUTH,Residential Volume,16158,15302,18272,15084
Oklahoma,EAST CENTRAL OKLAHOMA GAS AUTH,Commercial Volume,8174,8063,9059,7716
Oklahoma,EAST CENTRAL OKLAHOMA GAS AUTH,Industrial Volume,,,,23716
Louisiana,EAST FELICIANO PARISH GUD 1,Residential Volume,3686,7187,6891,
Louisiana,EAST FELICIANO PARISH GUD 1,Commercial Volume,4743,563,576,
Louisiana,EAST FELICIANO PARISH GUD 1,Industrial Volume,975,0,,
Ohio,EAST OHIO GAS COMP,Residential Volume,102063278,104772154,109445543,99035529
Ohio,EAST OHIO GAS COMP,Commercial Volume,53793641,56682337,61547768,54776619
Ohio,EAST OHIO GAS COMP,Industrial Volume,90395658,96686938,94234232,96789148
Ohio,EAST OHIO GAS COMP,Electric Power Volume,74029554,74306402,80524307,74297484
Ohio,EAST OHIO GAS COMP,Vehicle Fuel Volume,1080371,1060861,1142429,1268902
Georgia,EAST TENNESSEE NATURAL GAS LLC,Electric Power Volume,1183901,1022909,324450,24192
Tennessee,EAST TENNESSEE NATURAL GAS LLC,Industrial Volume,48257970,50644196,46758053,45168728
Tennessee,EAST TENNESSEE NATURAL GAS LLC,Electric Power Volume,34717551,28322480,30609816,29826024
Virginia,EAST TENNESSEE NATURAL GAS LLC,Industrial Volume,208059,241420,253769,242846
Virginia,EAST TENNESSEE NATURAL GAS LLC,Electric Power Volume,4084502,2271311,1444669,1961773
Ohio,EASTERN NATURAL GAS,Residential Volume,536590,561802,612029,628679
Ohio,EASTERN NATURAL GAS,Commercial Volume,188618,200110,236256,222463
New Mexico,EASTERN NEW MEXICO NAT GAS,Residential Volume,39034,45194,37942,33243
New Mexico,EASTERN NEW MEXICO NAT GAS,Commercial Volume,28105,26107,28378,23424
New Mexico,EASTERN NEW MEXICO NAT GAS,Industrial Volume,17703,2,164,278
Delaware,EASTERN SHORE NATURAL GAS CO,Commercial Volume,0,0,0,
Delaware,EASTERN SHORE NATURAL GAS CO,Industrial Volume,29043624,26793670,25531793,27304448
Delaware,EASTERN SHORE NATURAL GAS CO,Electric Power Volume,11971984,9154405,10246025,6956551
Maryland,EASTERN SHORE NATURAL GAS CO,Commercial Volume,,,0,
Maryland,EASTERN SHORE NATURAL GAS CO,Industrial Volume,2913532,613936,608710,617065
Texas,EASTON GAS SYS CITY OF,Residential Volume,5436,10309,7466,7472
Texas,EASTON GAS SYS CITY OF,Commercial Volume,4985,1366,0,
Maryland,EASTON UTILITIES COMMISSION,Residential Volume,211851,236704,228478,207120
Maryland,EASTON UTILITIES COMMISSION,Commercial Volume,267583,287383,290065,292786
Maryland,EASTON UTILITIES COMMISSION,Vehicle Fuel Volume,26,35,60,58
Georgia,EATONTON CITY OF,Residential Volume,49981,56522,52297,47329
Georgia,EATONTON CITY OF,Commercial Volume,53805,57339,58326,57126
Georgia,EATONTON CITY OF,Industrial Volume,8396,8219,7074,13718
Illinois,EDINBURG MUN GAS SYSTEM,Residential Volume,28701,30281,30273,27587
Illinois,EDINBURG MUN GAS SYSTEM,Commercial Volume,8925,8720,11111,9873
Georgia,EDISON CITY OF,Residential Volume,4012,3277,6199,3884
Georgia,EDISON CITY OF,Commercial Volume,2782,5754,3933,4701
Georgia,EDISON CITY OF,Industrial Volume,28847,30963,25025,22483
Michigan,EDL ENERGY,Commercial Volume,,,540300,513669
Kentucky,EDMONTON CITY OF,Residential Volume,40350,41014,42700,41950
Kentucky,EDMONTON CITY OF,Commercial Volume,34928,36693,44700,27330
Kentucky,EDMONTON CITY OF,Industrial Volume,50763,41186,50291,41650
Arizona,EL PASO NATURAL GAS COMPANY LLC,Industrial Volume,5870368,5171942,5071546,5225406
Arizona,EL PASO NATURAL GAS COMPANY LLC,Electric Power Volume,237199921,206278909,204222238,269005005
New Mexico,EL PASO NATURAL GAS COMPANY LLC,Industrial Volume,1053179,1428187,1108138,1869213
New Mexico,EL PASO NATURAL GAS COMPANY LLC,Electric Power Volume,64360644,48439578,57866024,76178367
Texas,EL PASO NATURAL GAS COMPANY LLC,Industrial Volume,4413287,5944533,6372579,5931115
Texas,EL PASO NATURAL GAS COMPANY LLC,Electric Power Volume,73224446,55253447,66522660,82543735
Georgia,ELBA EXPRESS,Electric Power Volume,45563548,29810252,27927210,28308171
Georgia,ELBERTON UTILITIES  NAT GAS DIV,Residential Volume,131363,157369,138677,138435
Georgia,ELBERTON UTILITIES  NAT GAS DIV,Commercial Volume,123197,144122,154554,155479
Georgia,ELBERTON UTILITIES  NAT GAS DIV,Industrial Volume,88871,37706,47852,79538
Texas,ELDORADO CITY OF,Residential Volume,17272,18477,17871,16658
Texas,ELDORADO CITY OF,Commercial Volume,2830,11590,14027,12105
Texas,ELDORADO CITY OF,Industrial Volume,6232,0,,
Kentucky,ELIZABETHTOWN CITY OF,Residential Volume,442114,476674,429224,362484
Kentucky,ELIZABETHTOWN CITY OF,Commercial Volume,468885,533263,610172,583494
Kentucky,ELIZABETHTOWN CITY OF,Industrial Volume,864429,919505,926365,870905
Tennessee,ELK RIVER PUBLIC UTILITY DISTRICT,Residential Volume,663332,784860,747009,695130
Tennessee,ELK RIVER PUBLIC UTILITY DISTRICT,Commercial Volume,1089851,1205365,1196143,1085251
Tennessee,ELK RIVER PUBLIC UTILITY DISTRICT,Industrial Volume,743876,807166,816690,807501
Maryland,ELKTON GAS COMPANY,Residential Volume,68534,267842,271837,259094
Maryland,ELKTON GAS COMPANY,Commercial Volume,68054,241533,260987,254717
Maryland,ELKTON GAS COMPANY,Industrial Volume,310026,830446,845653,830989
Washington,ELLENSBURG CITY OF,Residential Volume,230733,224429,258070,241354
Washington,ELLENSBURG CITY OF,Commercial Volume,457564,462433,512766,504561
Washington,ELLENSBURG CITY OF,Industrial Volume,25372,31147,28312,26307
Pennsylvania,EMKEY GATHERING LLC,Residential Volume,417,425,423,308
Pennsylvania,EMKEY GATHERING LLC,Commercial Volume,20880,20118,20989,19853
Iowa,EMMETSBURG MUNICIPAL UTILITIES,Residential Volume,98846,92591,111786,92127
Iowa,EMMETSBURG MUNICIPAL UTILITIES,Commercial Volume,103413,97703,114634,99069
Iowa,EMMETSBURG MUNICIPAL UTILITIES,Industrial Volume,2146,908,1682,3522
Missouri,EMPIRE DISTRICT GAS,Residential Volume,2325140,2281265,2549090,2136805
Missouri,EMPIRE DISTRICT GAS,Commercial Volume,2029107,2132386,2383748,2242018
Missouri,EMPIRE DISTRICT GAS,Industrial Volume,2996184,3109061,3355927,3068169
Missouri,EMPIRE DISTRICT GAS,Electric Power Volume,13315,21708,130084,110035
New York,EMPIRE PIPELINE INC,Industrial Volume,253190,245528,345263,218900
New York,EMPIRE PIPELINE INC,Electric Power Volume,34187838,30643754,32865258,36127042
New Mexico,EMW GAS ASSN,Residential Volume,292220,294760,292653,287868
New Mexico,EMW GAS ASSN,Commercial Volume,150239,159441,159276,158504
New Mexico,EMW GAS ASSN,Industrial Volume,56688,53110,82932,61226
New Mexico,EMW GAS ASSN,Vehicle Fuel Volume,0,0,,
Arkansas,ENABLE GAS TRANSMISSION LLC,Commercial Volume,5560868,6083885,6061719,5547247
Arkansas,ENABLE GAS TRANSMISSION LLC,Industrial Volume,62326369,65054826,64995516,65141919
Arkansas,ENABLE GAS TRANSMISSION LLC,Electric Power Volume,55220833,51103796,71954440,77473445
Louisiana,ENABLE GAS TRANSMISSION LLC,Commercial Volume,2001852,2308381,2684983,2779502
Louisiana,ENABLE GAS TRANSMISSION LLC,Industrial Volume,9250859,8613601,9460539,11450337
Louisiana,ENABLE GAS TRANSMISSION LLC,Electric Power Volume,22076971,18759897,20538464,23190183
Oklahoma,ENABLE GAS TRANSMISSION LLC,Commercial Volume,1787578,1702266,1727306,1547266
Oklahoma,ENABLE GAS TRANSMISSION LLC,Industrial Volume,4579948,5410225,11683692,12629331
Oklahoma,ENABLE GAS TRANSMISSION LLC,Electric Power Volume,22856195,7800091,8551078,2797393
Texas,ENABLE GAS TRANSMISSION LLC,Commercial Volume,339821,326744,337490,336068
Texas,ENABLE GAS TRANSMISSION LLC,Industrial Volume,8920936,8788579,8604443,8601637
Texas,ENABLE GAS TRANSMISSION LLC,Electric Power Volume,6245344,7864243,7910621,7469444
Oklahoma,ENABLE GATHERING AND PROCESSING,Residential Volume,48,84,623,1692
