Area,Company,Item,2020,2021,2022,2023
Kansas, Total of All Companies,Commercial Volume,39857361,41010247,45972854,42672641
Kansas, Total of All Companies,Industrial Volume,135732892,135507726,142391438,135192626
Kansas, Total of All Companies,Electric Power Volume,23609941,21503494,28175687,39351006
Kansas, Total of All Companies,Vehicle Fuel Volume,765514,912819,1296356,675168
Kansas, Total of All Companies,Other Volume,0,0,0,0
Kentucky, Total of All Companies,Residential Volume,45961266,46920185,49821126,40870407
Kentucky, Total of All Companies,Commercial Volume,33949735,35984056,38492158,34473706
Kentucky, Total of All Companies,Industrial Volume,116777717,123354064,128980823,129926639
Kentucky, Total of All Companies,Electric Power Volume,106618868,115260736,145930934,118528485
Kentucky, Total of All Companies,Vehicle Fuel Volume,29688,8562,17314,429
Kentucky, Total of All Companies,Other Volume,,,,0
Louisiana, Total of All Companies,Residential Volume,32097346,36270441,35317571,29205964
Louisiana, Total of All Companies,Commercial Volume,29757180,32546559,31747041,29952422
Louisiana, Total of All Companies,Industrial Volume,1149483911,1078807185,1170590788,1177018113
Louisiana, Total of All Companies,Electric Power Volume,280364193,242084535,279210299,292572475
Louisiana, Total of All Companies,Vehicle Fuel Volume,385178,360065,344099,283701
Louisiana, Total of All Companies,Other Volume,0,0,0,0
Maine, Total of All Companies,Residential Volume,2962466,2936703,3058176,2983009
Maine, Total of All Companies,Commercial Volume,8933655,9034424,9342142,9168900
Maine, Total of All Companies,Industrial Volume,22678543,21863134,20667854,18324710
Maine, Total of All Companies,Electric Power Volume,13328177,29749987,24788788,25819152
Maryland, Total of All Companies,Residential Volume,77274096,76873970,82531758,71636876
Maryland, Total of All Companies,Commercial Volume,67562926,66201823,73915562,67957651
Maryland, Total of All Companies,Industrial Volume,17068542,18720461,16189607,15096197
Maryland, Total of All Companies,Electric Power Volume,57003592,64065285,64953320,80289897
Maryland, Total of All Companies,Vehicle Fuel Volume,259666,276381,312210,393959
Massachusetts, Total of All Companies,Residential Volume,120333266,122811656,131542953,109804926
Massachusetts, Total of All Companies,Commercial Volume,109624640,103255833,116725164,106859018
Massachusetts, Total of All Companies,Industrial Volume,45757821,47538061,47687209,43090098
Massachusetts, Total of All Companies,Electric Power Volume,114173388,115539534,116952360,113372498
Massachusetts, Total of All Companies,Vehicle Fuel Volume,86851,77186,112976,157263
Michigan, Total of All Companies,Residential Volume,304193916,296038742,328711667,284916332
Michigan, Total of All Companies,Commercial Volume,160487333,161398799,179273654,163124977
Michigan, Total of All Companies,Industrial Volume,154148832,158649475,167906525,163104597
Michigan, Total of All Companies,Electric Power Volume,296834327,242961716,316890404,389721167
Michigan, Total of All Companies,Vehicle Fuel Volume,,,1068061,521260
Minnesota, Total of All Companies,Residential Volume,130118791,130582922,150761083,130495955
Minnesota, Total of All Companies,Commercial Volume,101514868,102193770,119554815,107314238
Minnesota, Total of All Companies,Industrial Volume,140553989,152377747,153556097,153495127
Minnesota, Total of All Companies,Electric Power Volume,78195348,88843906,58521729,90591985
Minnesota, Total of All Companies,Vehicle Fuel Volume,423695,547534,560224,474702
Minnesota, Total of All Companies,Other Volume,0,,,
Mississippi, Total of All Companies,Residential Volume,20610686,21297094,22330536,19455466
Mississippi, Total of All Companies,Commercial Volume,18322012,19282194,20102976,19389075
Mississippi, Total of All Companies,Industrial Volume,131207269,132754167,139337865,126978462
Mississippi, Total of All Companies,Electric Power Volume,382216792,340743257,362957911,399977781
Mississippi, Total of All Companies,Vehicle Fuel Volume,1852,6670,10545,4096
Mississippi, Total of All Companies,Other Volume,9248,8964,537,934
Missouri, Total of All Companies,Residential Volume,99983654,101464363,103641536,91977570
Missouri, Total of All Companies,Commercial Volume,60416752,62451769,65971546,61768348
Missouri, Total of All Companies,Industrial Volume,63635287,64384102,64873672,66500712
Missouri, Total of All Companies,Electric Power Volume,62478862,51764688,64611167,74781209
Missouri, Total of All Companies,Vehicle Fuel Volume,177471,218445,142307,117265
Missouri, Total of All Companies,Other Volume,8243,7043,8453,7558
Montana, Total of All Companies,Residential Volume,21764167,21107265,23261260,22099532
Montana, Total of All Companies,Commercial Volume,25597853,24668183,27067457,26777796
Montana, Total of All Companies,Industrial Volume,24597814,24845055,25654522,27150999
Montana, Total of All Companies,Electric Power Volume,3416029,5629364,7742445,10338627
Montana, Total of All Companies,Vehicle Fuel Volume,114,30,23,17
Nebraska, Total of All Companies,Residential Volume,36998819,36376900,39407191,37741228
Nebraska, Total of All Companies,Commercial Volume,31600438,31821797,32708478,34294327
Nebraska, Total of All Companies,Industrial Volume,94880754,96363899,98156067,104302820
Nebraska, Total of All Companies,Electric Power Volume,5436864,5830756,5851100,6884664
Nebraska, Total of All Companies,Vehicle Fuel Volume,130146,373637,482844,294638
Nebraska, Total of All Companies,Other Volume,,,,4064
Nevada, Total of All Companies,Residential Volume,46009200,44848178,47111604,50609546
Nevada, Total of All Companies,Commercial Volume,25837192,30739078,32765773,33996423
Nevada, Total of All Companies,Industrial Volume,19264235,17558460,18402852,20899305
Nevada, Total of All Companies,Electric Power Volume,203570357,192951371,187198549,178839737
Nevada, Total of All Companies,Vehicle Fuel Volume,1130659,1141132,1182243,1294911
New Hampshire, Total of All Companies,Residential Volume,7403219,7438071,7425901,7045622
New Hampshire, Total of All Companies,Commercial Volume,9036013,9338091,9346231,9737201
